ticker,n_mu,x,calmar
SPY,1,0.0,0.15271454937964593
SPY,1,0.25,0.20426198722233715
SPY,1,0.5,0.22216357341899776
SPY,1,0.75,0.26093661475148805
SPY,1,1.0,0.2746049355100346
SPY,3,0.0,0.2165216959086983
SPY,3,0.25,0.24589783065867601
SPY,3,0.5,0.24987746147271017
SPY,3,0.75,0.31894813527003296
SPY,3,1.0,0.2746049355100346
SPY,5,0.0,0.14934156546977523
SPY,5,0.25,0.21541187656659508
SPY,5,0.5,0.27534393120809747
SPY,5,0.75,0.3307217934703835
SPY,5,1.0,0.2746049355100346
SPY,8,0.0,0.12486609983076837
SPY,8,0.25,0.2323621580592792
SPY,8,0.5,0.28926145936485786
SPY,8,0.75,0.30127088556668163
SPY,8,1.0,0.2746049355100346
SPY,12,0.0,0.1627093444721976
SPY,12,0.25,0.2601143655299494
SPY,12,0.5,0.3550243317175923
SPY,12,0.75,0.28734254328088243
SPY,12,1.0,0.2746049355100346
SPY,18,0.0,0.08646317630796697
SPY,18,0.25,0.13890269486563997
SPY,18,0.5,0.24730577508897614
SPY,18,0.75,0.1980615799391032
SPY,18,1.0,0.2746049355100346
SPY,25,0.0,0.10656746474434677
SPY,25,0.25,0.1218098013282455
SPY,25,0.5,0.2136856264923962
SPY,25,0.75,0.1644772173037543
SPY,25,1.0,0.2746049355100346
SPY,35,0.0,0.08362499977613162
SPY,35,0.25,0.07164669949153356
SPY,35,0.5,0.13893960285203164
SPY,35,0.75,0.141097522910847
SPY,35,1.0,0.2746049355100346
SPY,50,0.0,0.10372245410182167
SPY,50,0.25,0.05037360909827889
SPY,50,0.5,0.08501150508903714
SPY,50,0.75,0.09374612041932136
SPY,50,1.0,0.2746049355100346
QQQ,1,0.0,0.15617995443443397
QQQ,1,0.25,0.1595352606817815
QQQ,1,0.5,0.1807930166749885
QQQ,1,0.75,0.17601846833389387
QQQ,1,1.0,0.18300409133797768
QQQ,3,0.0,0.18841337248773768
QQQ,3,0.25,0.2010842397074201
QQQ,3,0.5,0.22339851891733245
QQQ,3,0.75,0.16370296431181325
QQQ,3,1.0,0.18300409133797768
QQQ,5,0.0,0.21909813343020582
QQQ,5,0.25,0.20079035980161308
QQQ,5,0.5,0.17717152505022385
QQQ,5,0.75,0.16428728190820707
QQQ,5,1.0,0.18300409133797768
QQQ,8,0.0,0.11525085936673117
QQQ,8,0.25,0.1491191252983851
QQQ,8,0.5,0.1009537416603802
QQQ,8,0.75,0.13508372224625562
QQQ,8,1.0,0.18300409133797768
QQQ,12,0.0,0.050917497850495645
QQQ,12,0.25,0.10635630458369257
QQQ,12,0.5,0.044586470978406595
QQQ,12,0.75,0.09364848155162248
QQQ,12,1.0,0.18300409133797768
QQQ,18,0.0,0.07923974034116966
QQQ,18,0.25,0.06996082390866
QQQ,18,0.5,0.03445588943925051
QQQ,18,0.75,0.10526985785759746
QQQ,18,1.0,0.18300409133797768
QQQ,25,0.0,0.062464414368077946
QQQ,25,0.25,0.10025341257222846
QQQ,25,0.5,0.11711943989013608
QQQ,25,0.75,0.07372621987039506
QQQ,25,1.0,0.18300409133797768
QQQ,35,0.0,0.07412946773081198
QQQ,35,0.25,0.07650307607693002
QQQ,35,0.5,0.1145571930097275
QQQ,35,0.75,0.057450443476621
QQQ,35,1.0,0.18300409133797768
QQQ,50,0.0,0.13338103825803616
QQQ,50,0.25,0.1094464707091999
QQQ,50,0.5,0.11177579481678428
QQQ,50,0.75,0.051651034007342944
QQQ,50,1.0,0.18300409133797768
IWM,1,0.0,0.02827684370520857
IWM,1,0.25,0.014670062346889076
IWM,1,0.5,-0.0006870383275890093
IWM,1,0.75,0.02897543710524562
IWM,1,1.0,0.05023231678854138
IWM,3,0.0,0.03995119372332061
IWM,3,0.25,0.023177010729815192
IWM,3,0.5,0.010372023519692793
IWM,3,0.75,0.045650594896126495
IWM,3,1.0,0.05023231678854138
IWM,5,0.0,0.06561328495437194
IWM,5,0.25,0.05064359884910086
IWM,5,0.5,0.03635608212722474
IWM,5,0.75,0.04547680634831627
IWM,5,1.0,0.05023231678854138
IWM,8,0.0,0.07113650927227627
IWM,8,0.25,0.04497883276660181
IWM,8,0.5,0.034098869026782094
IWM,8,0.75,0.02407506377368371
IWM,8,1.0,0.05023231678854138
IWM,12,0.0,-0.008980543337631907
IWM,12,0.25,-0.00296799749941009
IWM,12,0.5,-0.017366485766245877
IWM,12,0.75,0.022662169997634294
IWM,12,1.0,0.05023231678854138
IWM,18,0.0,-0.03207145494679913
IWM,18,0.25,-0.050354646405373606
IWM,18,0.5,0.01421049976468903
IWM,18,0.75,0.03346391049604589
IWM,18,1.0,0.05023231678854138
IWM,25,0.0,-0.08235985286175744
IWM,25,0.25,-0.06357477474320346
IWM,25,0.5,-0.04705572938382821
IWM,25,0.75,0.003304509736897736
IWM,25,1.0,0.05023231678854138
IWM,35,0.0,-0.031138518693139643
IWM,35,0.25,-0.04442140263776146
IWM,35,0.5,-0.036009666740885016
IWM,35,0.75,-0.007219373114627945
IWM,35,1.0,0.05023231678854138
IWM,50,0.0,0.09266821874656761
IWM,50,0.25,0.0011872559021368148
IWM,50,0.5,-0.002314106847687028
IWM,50,0.75,0.03876252003206149
IWM,50,1.0,0.05023231678854138
AAPL,1,0.0,0.3002521139336022
AAPL,1,0.25,0.31048287711323214
AAPL,1,0.5,0.30368627680929555
AAPL,1,0.75,0.2941717285479436
AAPL,1,1.0,0.35397450355523
AAPL,3,0.0,0.2526992328779954
AAPL,3,0.25,0.3017675618230203
AAPL,3,0.5,0.2839728019046471
AAPL,3,0.75,0.24381964039828716
AAPL,3,1.0,0.35397450355523
AAPL,5,0.0,0.20030072677423935
AAPL,5,0.25,0.22946501578349765
AAPL,5,0.5,0.23312861108283944
AAPL,5,0.75,0.2400794591033846
AAPL,5,1.0,0.35397450355523
AAPL,8,0.0,0.21083912366694288
AAPL,8,0.25,0.2674458474946281
AAPL,8,0.5,0.2613788448151809
AAPL,8,0.75,0.2552678230416789
AAPL,8,1.0,0.35397450355523
AAPL,12,0.0,0.18251783460419205
AAPL,12,0.25,0.24970792725051957
AAPL,12,0.5,0.21797655650125525
AAPL,12,0.75,0.20229690726358465
AAPL,12,1.0,0.35397450355523
AAPL,18,0.0,0.20056219962532576
AAPL,18,0.25,0.2405720028024747
AAPL,18,0.5,0.2527598328890228
AAPL,18,0.75,0.19967704486405932
AAPL,18,1.0,0.35397450355523
AAPL,25,0.0,0.06093629782292633
AAPL,25,0.25,0.06392530784575036
AAPL,25,0.5,0.15009971017838028
