ticker,n_mu,x,kurtosis
SPY,1,0.0,28.69784672922756
SPY,1,0.25,27.50124664484756
SPY,1,0.5,26.944246713140647
SPY,1,0.75,26.248351894691694
SPY,1,1.0,25.417655667510303
SPY,3,0.0,32.758082190811514
SPY,3,0.25,31.043758130519183
SPY,3,0.5,28.511886443641142
SPY,3,0.75,27.485224149855785
SPY,3,1.0,25.417655667510303
SPY,5,0.0,36.00321965773343
SPY,5,0.25,34.04220136421322
SPY,5,0.5,29.872917141208706
SPY,5,0.75,28.0984050611758
SPY,5,1.0,25.417655667510303
SPY,8,0.0,43.178528154870385
SPY,8,0.25,37.274972058473146
SPY,8,0.5,31.132616839915404
SPY,8,0.75,28.814022698365566
SPY,8,1.0,25.417655667510303
SPY,12,0.0,50.04021416316248
SPY,12,0.25,42.80349294387037
SPY,12,0.5,33.50200484748419
SPY,12,0.75,29.725375726905725
SPY,12,1.0,25.417655667510303
SPY,18,0.0,63.66680586595016
SPY,18,0.25,49.31682420765306
SPY,18,0.5,38.22035053595538
SPY,18,0.75,31.874937951125755
SPY,18,1.0,25.417655667510303
SPY,25,0.0,85.61617175272853
SPY,25,0.25,53.91430885142011
SPY,25,0.5,41.22725213746851
SPY,25,0.75,32.47205042950802
SPY,25,1.0,25.417655667510303
SPY,35,0.0,95.9924293643761
SPY,35,0.25,61.28219595099892
SPY,35,0.5,41.12852050666475
SPY,35,0.75,32.639975054405994
SPY,35,1.0,25.417655667510303
SPY,50,0.0,96.49023469384554
SPY,50,0.25,61.22215345289249
SPY,50,0.5,44.17046712700687
SPY,50,0.75,34.07968544075637
SPY,50,1.0,25.417655667510303
QQQ,1,0.0,25.86831911617274
QQQ,1,0.25,25.04368763261043
QQQ,1,0.5,24.683494527294602
QQQ,1,0.75,24.10439283293597
QQQ,1,1.0,23.604621712789694
QQQ,3,0.0,29.311046246756643
QQQ,3,0.25,28.004842168295202
QQQ,3,0.5,26.400251133540053
QQQ,3,0.75,24.977682765193233
QQQ,3,1.0,23.604621712789694
QQQ,5,0.0,33.16718796288912
QQQ,5,0.25,31.11893351997809
QQQ,5,0.5,28.31203490867144
QQQ,5,0.75,25.740109569907347
QQQ,5,1.0,23.604621712789694
QQQ,8,0.0,38.21637921918985
QQQ,8,0.25,36.44077040242601
QQQ,8,0.5,30.468968065300047
QQQ,8,0.75,25.98431617029448
QQQ,8,1.0,23.604621712789694
QQQ,12,0.0,44.445478468809775
QQQ,12,0.25,40.83415485743969
QQQ,12,0.5,32.57990052055789
