ticker,n_mu,x,payoff_ratio
SPY,1,0.0,1.2965139606777845
SPY,1,0.25,1.2945673387572323
SPY,1,0.5,1.2846144168052183
SPY,1,0.75,1.278931235098169
SPY,1,1.0,1.2723716184698433
SPY,3,0.0,1.2832018062042316
SPY,3,0.25,1.2806039721127849
SPY,3,0.5,1.2775826286399143
SPY,3,0.75,1.2801506530969957
SPY,3,1.0,1.2723716184698433
SPY,5,0.0,1.2498112423160193
SPY,5,0.25,1.2499865373165229
SPY,5,0.5,1.2592577732458354
SPY,5,0.75,1.268064284356091
SPY,5,1.0,1.2723716184698433
SPY,8,0.0,1.2302014099087153
SPY,8,0.25,1.2491399957879497
SPY,8,0.5,1.2575167213620964
SPY,8,0.75,1.2708980623060415
SPY,8,1.0,1.2723716184698433
SPY,12,0.0,1.2193778378531983
SPY,12,0.25,1.2389197767302635
SPY,12,0.5,1.2510403230611638
SPY,12,0.75,1.2664368064354747
SPY,12,1.0,1.2723716184698433
SPY,18,0.0,1.1660565662052618
SPY,18,0.25,1.2044806880790766
SPY,18,0.5,1.2337804798641834
SPY,18,0.75,1.261418429072202
SPY,18,1.0,1.2723716184698433
SPY,25,0.0,1.1322301332242473
SPY,25,0.25,1.1827822486393356
SPY,25,0.5,1.2155858828458184
SPY,25,0.75,1.2553572059069071
SPY,25,1.0,1.2723716184698433
SPY,35,0.0,1.1024340600423252
SPY,35,0.25,1.165996464060255
SPY,35,0.5,1.2232037807753133
SPY,35,0.75,1.2614500974810399
SPY,35,1.0,1.2723716184698433
SPY,50,0.0,1.1268049337412975
SPY,50,0.25,1.1723720482300193
SPY,50,0.5,1.221844811696288
SPY,50,0.75,1.2603331932072062
SPY,50,1.0,1.2723716184698433
QQQ,1,0.0,1.2357420901874623
QQQ,1,0.25,1.2313287144539606
QQQ,1,0.5,1.2305688330820332
QQQ,1,0.75,1.2250869642115094
QQQ,1,1.0,1.2192257373273667
QQQ,3,0.0,1.2028739475614183
QQQ,3,0.25,1.2141086558597898
QQQ,3,0.5,1.2162654229299135
QQQ,3,0.75,1.2175630371144628
QQQ,3,1.0,1.2192257373273667
QQQ,5,0.0,1.1835860377347334
QQQ,5,0.25,1.1997434949351526
QQQ,5,0.5,1.2090441733059882
QQQ,5,0.75,1.2223780258368586
QQQ,5,1.0,1.2192257373273667
QQQ,8,0.0,1.167359702214004
QQQ,8,0.25,1.1794776871322328
QQQ,8,0.5,1.1984673288409509
QQQ,8,0.75,1.2165563662282561
QQQ,8,1.0,1.2192257373273667
QQQ,12,0.0,1.1220916624891084
QQQ,12,0.25,1.14815916525588
QQQ,12,0.5,1.1802874097675424
QQQ,12,0.75,1.2155719962624756
QQQ,12,1.0,1.2192257373273667
QQQ,18,0.0,1.0919295785228014
QQQ,18,0.25,1.1338919810178731
QQQ,18,0.5,1.1918508532474548
QQQ,18,0.75,1.223981700950902
QQQ,18,1.0,1.2192257373273667
QQQ,25,0.0,1.0751515954817317
QQQ,25,0.25,1.1212785661365314
QQQ,25,0.5,1.183358429863494
QQQ,25,0.75,1.2270284792038908
QQQ,25,1.0,1.2192257373273667
QQQ,35,0.0,1.0406489015212883
QQQ,35,0.25,1.0981238773326554
QQQ,35,0.5,1.1779203534527103
QQQ,35,0.75,1.2309491055242532
QQQ,35,1.0,1.2192257373273667
QQQ,50,0.0,1.0018463724361073
QQQ,50,0.25,1.0902454634849919
QQQ,50,0.5,1.1698250052774763
QQQ,50,0.75,1.2370132551522162
QQQ,50,1.0,1.2192257373273667
IWM,1,0.0,1.334221997475323
IWM,1,0.25,1.321075870295742
IWM,1,0.5,1.3118383516037946
IWM,1,0.75,1.3039963463618929
IWM,1,1.0,1.3020896938430868
IWM,3,0.0,1.3160014159496412
IWM,3,0.25,1.306881350661233
IWM,3,0.5,1.3078595923114305
IWM,3,0.75,1.3046987039636333
IWM,3,1.0,1.3020896938430868
IWM,5,0.0,1.3031506674106033
IWM,5,0.25,1.3093099065097904
IWM,5,0.5,1.3010434896286036
IWM,5,0.75,1.3160313386210347
IWM,5,1.0,1.3020896938430868
IWM,8,0.0,1.2607418315623329
IWM,8,0.25,1.288005081481422
IWM,8,0.5,1.2970974407259608
IWM,8,0.75,1.317805634598211
IWM,8,1.0,1.3020896938430868
IWM,12,0.0,1.2355490675628078
IWM,12,0.25,1.2756178260045639
IWM,12,0.5,1.285144745993543
IWM,12,0.75,1.3226158056760247
IWM,12,1.0,1.3020896938430868
IWM,18,0.0,1.1813377267196439
IWM,18,0.25,1.2338128472117902
IWM,18,0.5,1.2670322920228518
IWM,18,0.75,1.3135825042595939
IWM,18,1.0,1.3020896938430868
IWM,25,0.0,1.1641069852848942
IWM,25,0.25,1.2211672446760762
IWM,25,0.5,1.2588238936063885
IWM,25,0.75,1.3058287529936607
IWM,25,1.0,1.3020896938430868
IWM,35,0.0,1.1341512836863277
IWM,35,0.25,1.195294819239159
IWM,35,0.5,1.229752143611395
IWM,35,0.75,1.3162197315631283
IWM,35,1.0,1.3020896938430868
IWM,50,0.0,1.1562606433716196
IWM,50,0.25,1.1959604892963893
IWM,50,0.5,1.2209292527717652
IWM,50,0.75,1.296909188708397
IWM,50,1.0,1.3020896938430868
AAPL,1,0.0,1.3383545979424285
AAPL,1,0.25,1.3332086305219195
AAPL,1,0.5,1.3215460483086543
AAPL,1,0.75,1.3112775261068983
AAPL,1,1.0,1.3164072056540332
AAPL,3,0.0,1.3517789391090587
AAPL,3,0.25,1.3431206556281257
AAPL,3,0.5,1.3271498261601342
AAPL,3,0.75,1.3088450416147899
AAPL,3,1.0,1.3164072056540332
AAPL,5,0.0,1.3242216982757
AAPL,5,0.25,1.3211644003139458
AAPL,5,0.5,1.308973990985614
AAPL,5,0.75,1.3051160130079213
AAPL,5,1.0,1.3164072056540332
AAPL,8,0.0,1.3102820901658332
AAPL,8,0.25,1.3116943630863105
AAPL,8,0.5,1.2921235366744719
AAPL,8,0.75,1.2956830432747626
AAPL,8,1.0,1.3164072056540332
AAPL,12,0.0,1.307879611570975
AAPL,12,0.25,1.3123061753353482
AAPL,12,0.5,1.2871058905812143
AAPL,12,0.75,1.2979219822427668
AAPL,12,1.0,1.3164072056540332
AAPL,18,0.0,1.2798222155370924
AAPL,18,0.25,1.297208148837169
AAPL,18,0.5,1.2811927347290386
AAPL,18,0.75,1.297480329317919
AAPL,18,1.0,1.3164072056540332
AAPL,25,0.0,1.2536142461450606
AAPL,25,0.25,1.2574540215953174
AAPL,25,0.5,1.2637469724964945
AAPL,25,0.75,1.2812437168467887
AAPL,25,1.0,1.3164072056540332
AAPL,35,0.0,1.224656717933572
AAPL,35,0.25,1.2591325387287096
AAPL,35,0.5,1.248640025520183
AAPL,35,0.75,1.2712799447642877
AAPL,35,1.0,1.3164072056540332
AAPL,50,0.0,1.1949956604992373
AAPL,50,0.25,1.230790416540701
AAPL,50,0.5,1.2414653781263991
AAPL,50,0.75,1.2629740965092866
AAPL,50,1.0,1.3164072056540332
GOOGL,1,0.0,1.3502158070821773
GOOGL,1,0.25,1.3403182382276422
GOOGL,1,0.5,1.334752646596962
GOOGL,1,0.75,1.319364221236009
GOOGL,1,1.0,1.3106880202273592
GOOGL,3,0.0,1.325534675181643
GOOGL,3,0.25,1.3130680750636519
GOOGL,3,0.5,1.3141016612613503
GOOGL,3,0.75,1.3156456565700052
GOOGL,3,1.0,1.3106880202273592
GOOGL,5,0.0,1.2997765694002983
GOOGL,5,0.25,1.2942867346833655
GOOGL,5,0.5,1.2905118581873622
GOOGL,5,0.75,1.3106344622983845
GOOGL,5,1.0,1.3106880202273592
GOOGL,8,0.0,1.2824158833303316
GOOGL,8,0.25,1.279701755165766
GOOGL,8,0.5,1.2950430323188435
GOOGL,8,0.75,1.3134610715576192
GOOGL,8,1.0,1.3106880202273592
GOOGL,12,0.0,1.2411676527545974
GOOGL,12,0.25,1.240672909774691
GOOGL,12,0.5,1.2720169099705843
GOOGL,12,0.75,1.2954549931618697
