ticker,n_mu,x,profit_factor
SPY,1,0.0,1.419199606880116
SPY,1,0.25,1.4344156442134164
SPY,1,0.5,1.438471087022087
SPY,1,0.75,1.4469057682119038
SPY,1,1.0,1.4556932266680118
SPY,3,0.0,1.4185721506291502
SPY,3,0.25,1.4317284693852577
SPY,3,0.5,1.4441052603615665
SPY,3,0.75,1.4557568472197093
SPY,3,1.0,1.4556932266680118
SPY,5,0.0,1.3875776685742016
SPY,5,0.25,1.4106244349631378
SPY,5,0.5,1.440274280522824
SPY,5,0.75,1.4537864971578598
SPY,5,1.0,1.4556932266680118
SPY,8,0.0,1.3718026936641634
SPY,8,0.25,1.4039387996477426
SPY,8,0.5,1.437196976020008
SPY,8,0.75,1.4454273933322141
SPY,8,1.0,1.4556932266680118
SPY,12,0.0,1.3607872123588345
SPY,12,0.25,1.398188329572796
SPY,12,0.5,1.439428549492389
SPY,12,0.75,1.4453253262236876
SPY,12,1.0,1.4556932266680118
SPY,18,0.0,1.2993297122136622
SPY,18,0.25,1.351052104599235
SPY,18,0.5,1.4087168178464118
SPY,18,0.75,1.4188588467972612
SPY,18,1.0,1.4556932266680118
SPY,25,0.0,1.27410077974307
SPY,25,0.25,1.3318710073808788
SPY,25,0.5,1.3941336500452859
SPY,25,0.75,1.4081564349592164
SPY,25,1.0,1.4556932266680118
SPY,35,0.0,1.261244787179529
SPY,35,0.25,1.3088941714077518
SPY,35,0.5,1.3668862086982345
SPY,35,0.75,1.399749551667578
SPY,35,1.0,1.4556932266680118
SPY,50,0.0,1.26659424790808
SPY,50,0.25,1.2890867016021665
SPY,50,0.5,1.3454611361566287
SPY,50,0.75,1.3910913972320393
SPY,50,1.0,1.4556932266680118
QQQ,1,0.0,1.399184071637496
QQQ,1,0.25,1.4018857889112113
QQQ,1,0.5,1.411515432690077
QQQ,1,0.75,1.4113409832049353
QQQ,1,1.0,1.4135810434103577
QQQ,3,0.0,1.3896565595872452
QQQ,3,0.25,1.3965340466956426
QQQ,3,0.5,1.411508504242702
QQQ,3,0.75,1.4063707546142974
QQQ,3,1.0,1.4135810434103577
QQQ,5,0.0,1.3756521627661524
QQQ,5,0.25,1.382568787078754
QQQ,5,0.5,1.393319556342057
QQQ,5,0.75,1.403345644049118
QQQ,5,1.0,1.4135810434103577
QQQ,8,0.0,1.344201865808049
QQQ,8,0.25,1.3630370426068914
QQQ,8,0.5,1.3707353453526692
QQQ,8,0.75,1.3940533501909866
QQQ,8,1.0,1.4135810434103577
QQQ,12,0.0,1.3036445491038025
QQQ,12,0.25,1.33199034560808
QQQ,12,0.5,1.3399465584144419
QQQ,12,0.75,1.3808434724180054
QQQ,12,1.0,1.4135810434103577
QQQ,18,0.0,1.2729767388016926
QQQ,18,0.25,1.307039650052157
QQQ,18,0.5,1.3330294644009424
QQQ,18,0.75,1.3801111558537669
QQQ,18,1.0,1.4135810434103577
QQQ,25,0.0,1.233491370009692
QQQ,25,0.25,1.2861414606534423
QQQ,25,0.5,1.3383127480095742
QQQ,25,0.75,1.3649356455936166
QQQ,25,1.0,1.4135810434103577
QQQ,35,0.0,1.2266758422565072
QQQ,35,0.25,1.2665425824770942
QQQ,35,0.5,1.3335443398818538
QQQ,35,0.75,1.356692979092192
QQQ,35,1.0,1.4135810434103577
QQQ,50,0.0,1.1995051322000727
QQQ,50,0.25,1.2643497367463583
QQQ,50,0.5,1.326341089684071
QQQ,50,0.75,1.3523242230561001
QQQ,50,1.0,1.4135810434103577
IWM,1,0.0,1.3678010195431423
IWM,1,0.25,1.3649727840365264
IWM,1,0.5,1.359836934116421
IWM,1,0.75,1.3705000392768236
IWM,1,1.0,1.3831659731957826
IWM,3,0.0,1.3590540089119554
IWM,3,0.25,1.3591930437725115
IWM,3,0.5,1.358424787196929
IWM,3,0.75,1.3748040900128984
IWM,3,1.0,1.3831659731957826
IWM,5,0.0,1.3520124736267112
IWM,5,0.25,1.358928674841698
IWM,5,0.5,1.3596770546480776
IWM,5,0.75,1.3722900724565745
IWM,5,1.0,1.3831659731957826
IWM,8,0.0,1.3335348744654894
IWM,8,0.25,1.3456985908107786
IWM,8,0.5,1.3560635680649928
IWM,8,0.75,1.363418827592669
IWM,8,1.0,1.3831659731957826
IWM,12,0.0,1.2843055962334533
