ticker,n_mu,x,recovery
SPY,1,0.0,2.0236827822384122
SPY,1,0.25,2.8736309430888003
SPY,1,0.5,3.176178450738565
SPY,1,0.75,3.763822513294428
SPY,1,1.0,3.9540963635956086
SPY,3,0.0,2.9708700654826052
SPY,3,0.25,3.519662231455852
SPY,3,0.5,3.6041483291888716
SPY,3,0.75,4.842005791946084
SPY,3,1.0,3.9540963635956086
SPY,5,0.0,1.9192185813338911
SPY,5,0.25,2.9235837513086254
SPY,5,0.5,4.116131479041884
SPY,5,0.75,5.024626031126297
SPY,5,1.0,3.9540963635956086
SPY,8,0.0,1.6086818075590816
SPY,8,0.25,3.2791688929662204
SPY,8,0.5,4.617406741657484
SPY,8,0.75,4.575277235614635
SPY,8,1.0,3.9540963635956086
SPY,12,0.0,2.349824934252499
SPY,12,0.25,3.7234177017020045
SPY,12,0.5,5.405707074148069
SPY,12,0.75,4.2208250081880765
SPY,12,1.0,3.9540963635956086
SPY,18,0.0,1.0892195397633304
SPY,18,0.25,1.8849407938970646
SPY,18,0.5,3.9590868146576033
SPY,18,0.75,2.966431512432772
SPY,18,1.0,3.9540963635956086
SPY,25,0.0,1.3792959262499664
SPY,25,0.25,1.600151931220332
SPY,25,0.5,3.1758664808501096
SPY,25,0.75,2.338891369557366
SPY,25,1.0,3.9540963635956086
SPY,35,0.0,1.0946853234752132
SPY,35,0.25,1.0547556155892417
SPY,35,0.5,2.1392911201806974
SPY,35,0.75,2.0993516451791754
SPY,35,1.0,3.9540963635956086
SPY,50,0.0,1.592412043536761
SPY,50,0.25,0.8935284362026317
SPY,50,0.5,1.3261573521828829
SPY,50,0.75,1.3054855760213384
SPY,50,1.0,3.9540963635956086
QQQ,1,0.0,2.260784506822481
QQQ,1,0.25,2.3147915736335096
QQQ,1,0.5,2.6960358386370444
QQQ,1,0.75,2.60793825673442
QQQ,1,1.0,2.709526315211995
QQQ,3,0.0,2.772900104654411
QQQ,3,0.25,2.9977517587474023
QQQ,3,0.5,3.4641715114644023
QQQ,3,0.75,2.4087011903779776
QQQ,3,1.0,2.709526315211995
QQQ,5,0.0,3.254964549248949
QQQ,5,0.25,2.982192858865481
QQQ,5,0.5,2.649520515621935
QQQ,5,0.75,2.409308492713998
QQQ,5,1.0,2.709526315211995
QQQ,8,0.0,1.6433506859088958
QQQ,8,0.25,2.212353256222456
QQQ,8,0.5,1.4350907812186051
QQQ,8,0.75,1.9560672717310459
