ticker,n_mu,x,skewness
SPY,1,0.0,2.4496049405376827
SPY,1,0.25,2.396529079532412
SPY,1,0.5,2.3762794221711583
SPY,1,0.75,2.3350732927128495
SPY,1,1.0,2.2606635175375143
SPY,3,0.0,2.6909546801274753
SPY,3,0.25,2.5823759159115736
SPY,3,0.5,2.471547256141474
SPY,3,0.75,2.414790610376329
SPY,3,1.0,2.2606635175375143
SPY,5,0.0,2.798777930861704
SPY,5,0.25,2.7055872206391562
SPY,5,0.5,2.525094893136099
SPY,5,0.75,2.433781053614581
SPY,5,1.0,2.2606635175375143
SPY,8,0.0,2.8985048850393516
SPY,8,0.25,2.8716563101292585
SPY,8,0.5,2.591019743002163
SPY,8,0.75,2.4551171150953617
SPY,8,1.0,2.2606635175375143
SPY,12,0.0,3.1522528478868903
SPY,12,0.25,3.1294797240832395
SPY,12,0.5,2.7127669855421943
SPY,12,0.75,2.4904702141205886
SPY,12,1.0,2.2606635175375143
SPY,18,0.0,3.588601202084837
SPY,18,0.25,3.266984677825549
SPY,18,0.5,2.8787705776981785
SPY,18,0.75,2.5551867333264813
SPY,18,1.0,2.2606635175375143
SPY,25,0.0,4.236686642195188
SPY,25,0.25,3.3388235662267314
SPY,25,0.5,3.0134600218854235
SPY,25,0.75,2.5717266929317777
SPY,25,1.0,2.2606635175375143
SPY,35,0.0,4.438500687059922
SPY,35,0.25,3.507036960678685
SPY,35,0.5,3.026056922642811
SPY,35,0.75,2.60113233162071
SPY,35,1.0,2.2606635175375143
SPY,50,0.0,4.55463666092045
SPY,50,0.25,3.483642857198458
SPY,50,0.5,3.112512787225949
SPY,50,0.75,2.6612129882712963
SPY,50,1.0,2.2606635175375143
QQQ,1,0.0,2.407840926631939
QQQ,1,0.25,2.332993178895454
QQQ,1,0.5,2.3060517401654725
QQQ,1,0.75,2.241711186032379
QQQ,1,1.0,2.2008219909911726
QQQ,3,0.0,2.613390862952627
QQQ,3,0.25,2.520090348761191
QQQ,3,0.5,2.4163573334918427
QQQ,3,0.75,2.2772117742627045
QQQ,3,1.0,2.2008219909911726
QQQ,5,0.0,2.768287580796631
QQQ,5,0.25,2.6477694991873975
QQQ,5,0.5,2.469959261655861
QQQ,5,0.75,2.3329980079384103
QQQ,5,1.0,2.2008219909911726
QQQ,8,0.0,2.966136033781455
QQQ,8,0.25,2.8457481197125336
QQQ,8,0.5,2.510314553043724
QQQ,8,0.75,2.3244841531794935
QQQ,8,1.0,2.2008219909911726
QQQ,12,0.0,3.0394296657623237
QQQ,12,0.25,2.8427229159296297
