ticker,n_mu,x,std_wins
SPY,1,0.0,0.0847038271476049
SPY,1,0.25,0.08583628131976055
SPY,1,0.5,0.08586910426954246
SPY,1,0.75,0.0863260741033897
SPY,1,1.0,0.0868241494712945
SPY,3,0.0,0.07965143174856969
SPY,3,0.25,0.08027528333048402
SPY,3,0.5,0.08324895455717511
SPY,3,0.75,0.0843214149776385
SPY,3,1.0,0.0868241494712945
SPY,5,0.0,0.0751520848169892
SPY,5,0.25,0.07618346404765897
SPY,5,0.5,0.08082195830605336
SPY,5,0.75,0.08309015909740276
SPY,5,1.0,0.0868241494712945
SPY,8,0.0,0.07065046906722403
SPY,8,0.25,0.0731997194255418
SPY,8,0.5,0.07917596783615526
SPY,8,0.75,0.08201340967938617
SPY,8,1.0,0.0868241494712945
SPY,12,0.0,0.06670924742503904
SPY,12,0.25,0.06829041466630668
SPY,12,0.5,0.07629870321605364
SPY,12,0.75,0.0809648434509558
SPY,12,1.0,0.0868241494712945
SPY,18,0.0,0.05748780193678116
SPY,18,0.25,0.0627186364604116
SPY,18,0.5,0.07142361239312892
SPY,18,0.75,0.07841611110922998
SPY,18,1.0,0.0868241494712945
SPY,25,0.0,0.04965669461926699
SPY,25,0.25,0.06057317526729191
SPY,25,0.5,0.06882867030523153
SPY,25,0.75,0.07799020194627845
SPY,25,1.0,0.0868241494712945
SPY,35,0.0,0.04853579124504279
SPY,35,0.25,0.059601281457604516
SPY,35,0.5,0.06954308338735038
SPY,35,0.75,0.07843050951486995
SPY,35,1.0,0.0868241494712945
SPY,50,0.0,0.04841801246706707
SPY,50,0.25,0.05874807526235181
SPY,50,0.5,0.06653984317378521
SPY,50,0.75,0.07650439678260418
SPY,50,1.0,0.0868241494712945
QQQ,1,0.0,0.08633711933587525
QQQ,1,0.25,0.08643641528362628
QQQ,1,0.5,0.08634821055347468
QQQ,1,0.75,0.08645095975897288
QQQ,1,1.0,0.0869156717971165
QQQ,3,0.0,0.08155802369848021
QQQ,3,0.25,0.08232765493728698
QQQ,3,0.5,0.08376938383988257
QQQ,3,0.75,0.08537120223837487
QQQ,3,1.0,0.0869156717971165
QQQ,5,0.0,0.07721008521366764
QQQ,5,0.25,0.0787768836974545
QQQ,5,0.5,0.08127563476316822
QQQ,5,0.75,0.08431927704528876
QQQ,5,1.0,0.0869156717971165
QQQ,8,0.0,0.07359126986913668
QQQ,8,0.25,0.07409347053019791
QQQ,8,0.5,0.07969875166273173
QQQ,8,0.75,0.08372633929710405
QQQ,8,1.0,0.0869156717971165
QQQ,12,0.0,0.06754726567433299
QQQ,12,0.25,0.06967785419427326
QQQ,12,0.5,0.07790344825146212
QQQ,12,0.75,0.08317083257584473
QQQ,12,1.0,0.0869156717971165
QQQ,18,0.0,0.05881974361609534
QQQ,18,0.25,0.06707032587286242
QQQ,18,0.5,0.07732382275761568
QQQ,18,0.75,0.08134328598118527
QQQ,18,1.0,0.0869156717971165
QQQ,25,0.0,0.05202241974437636
QQQ,25,0.25,0.05890489046761666
QQQ,25,0.5,0.07078736683631476
QQQ,25,0.75,0.08052287095204465
QQQ,25,1.0,0.0869156717971165
QQQ,35,0.0,0.049620820158475513
QQQ,35,0.25,0.05715434336755781
QQQ,35,0.5,0.06899149440950446
QQQ,35,0.75,0.0791329170424311
QQQ,35,1.0,0.0869156717971165
QQQ,50,0.0,0.039885911268987766
QQQ,50,0.25,0.053861135997658294
QQQ,50,0.5,0.06700750966050686
QQQ,50,0.75,0.07836201690413246
QQQ,50,1.0,0.0869156717971165
IWM,1,0.0,0.09467747593364294
IWM,1,0.25,0.09496927303687282
IWM,1,0.5,0.09491226085379482
IWM,1,0.75,0.09398772618510443
IWM,1,1.0,0.09581893241872615
IWM,3,0.0,0.08988290124857805
IWM,3,0.25,0.0914652541722636
IWM,3,0.5,0.09274851744843808
IWM,3,0.75,0.09308084876036084
IWM,3,1.0,0.09581893241872615
IWM,5,0.0,0.08398079504446236
IWM,5,0.25,0.08798722262938408
IWM,5,0.5,0.08968025414208843
IWM,5,0.75,0.09234380363106155
IWM,5,1.0,0.09581893241872615
IWM,8,0.0,0.07818644415298069
IWM,8,0.25,0.08380691518697762
IWM,8,0.5,0.08842899254015014
IWM,8,0.75,0.09212893770258555
IWM,8,1.0,0.09581893241872615
IWM,12,0.0,0.07234698212948838
IWM,12,0.25,0.07867061668265024
IWM,12,0.5,0.08464040867011437
IWM,12,0.75,0.09116568937846414
IWM,12,1.0,0.09581893241872615
IWM,18,0.0,0.06490869532055363
IWM,18,0.25,0.07306361094152092
IWM,18,0.5,0.07872856788459445
IWM,18,0.75,0.08822613383619433
IWM,18,1.0,0.09581893241872615
IWM,25,0.0,0.061333824563471646
IWM,25,0.25,0.06975298262874867
IWM,25,0.5,0.07790581393489986
IWM,25,0.75,0.08693438401762521
IWM,25,1.0,0.09581893241872615
IWM,35,0.0,0.053874199365511
IWM,35,0.25,0.06513788316908425
IWM,35,0.5,0.07287854427846678
IWM,35,0.75,0.08637856206751161
IWM,35,1.0,0.09581893241872615
IWM,50,0.0,0.05131039246676964
IWM,50,0.25,0.06461700266630942
IWM,50,0.5,0.06849265020612097
IWM,50,0.75,0.08251163649133424
IWM,50,1.0,0.09581893241872615
AAPL,1,0.0,0.08810593336888321
AAPL,1,0.25,0.08813614551583156
AAPL,1,0.5,0.08780247982596928
AAPL,1,0.75,0.08809788734783948
AAPL,1,1.0,0.08889716836648194
AAPL,3,0.0,0.0869241822745342
AAPL,3,0.25,0.08766449079058741
AAPL,3,0.5,0.08766859048944237
AAPL,3,0.75,0.08825614837790512
AAPL,3,1.0,0.08889716836648194
AAPL,5,0.0,0.08123017867047595
AAPL,5,0.25,0.08276981359606668
AAPL,5,0.5,0.08405043376885248
AAPL,5,0.75,0.08695775746692437
AAPL,5,1.0,0.08889716836648194
AAPL,8,0.0,0.07515935879842939
AAPL,8,0.25,0.07955938176919769
AAPL,8,0.5,0.08163094637339485
AAPL,8,0.75,0.08578408948845949
AAPL,8,1.0,0.08889716836648194
AAPL,12,0.0,0.0748115232224925
AAPL,12,0.25,0.07932805714323508
AAPL,12,0.5,0.08056323188813866
AAPL,12,0.75,0.08584495869127172
AAPL,12,1.0,0.08889716836648194
AAPL,18,0.0,0.06570667921593691
AAPL,18,0.25,0.07314498520410614
AAPL,18,0.5,0.07683858909483494
AAPL,18,0.75,0.08379982431538523
AAPL,18,1.0,0.08889716836648194
AAPL,25,0.0,0.06278070288670319
AAPL,25,0.25,0.06933106056338287
AAPL,25,0.5,0.07385764339730509
AAPL,25,0.75,0.08086901640716287
AAPL,25,1.0,0.08889716836648194
AAPL,35,0.0,0.0592820145926245
AAPL,35,0.25,0.06942040490961741
AAPL,35,0.5,0.0729566732854079
AAPL,35,0.75,0.07940343317692283
AAPL,35,1.0,0.08889716836648194
AAPL,50,0.0,0.051640812191317866
AAPL,50,0.25,0.06066538397752547
AAPL,50,0.5,0.06909000986883679
AAPL,50,0.75,0.07625275154448496
AAPL,50,1.0,0.08889716836648194
GOOGL,1,0.0,0.09927447986737668
GOOGL,1,0.25,0.09956405636055853
GOOGL,1,0.5,0.09925568525495897
GOOGL,1,0.75,0.0999411465033136
GOOGL,1,1.0,0.10034158386022762
GOOGL,3,0.0,0.08997991474323004
GOOGL,3,0.25,0.09187024053524823
GOOGL,3,0.5,0.09473142314268779
GOOGL,3,0.75,0.09813177638374876
GOOGL,3,1.0,0.10034158386022762
GOOGL,5,0.0,0.08437378715226529
GOOGL,5,0.25,0.08747091506016268
GOOGL,5,0.5,0.09072391681025822
GOOGL,5,0.75,0.095848117187899
GOOGL,5,1.0,0.10034158386022762
GOOGL,8,0.0,0.07930347267044757
GOOGL,8,0.25,0.08207245581879581
GOOGL,8,0.5,0.08856465468526098
GOOGL,8,0.75,0.09495873235545181
GOOGL,8,1.0,0.10034158386022762
GOOGL,12,0.0,0.0736749824582321
GOOGL,12,0.25,0.07886773679315288
GOOGL,12,0.5,0.08473082599527726
GOOGL,12,0.75,0.0917632415293787
GOOGL,12,1.0,0.10034158386022762
GOOGL,18,0.0,0.06324414283163306
GOOGL,18,0.25,0.07484093855799935
GOOGL,18,0.5,0.08224635783886962
GOOGL,18,0.75,0.09087053497965687
GOOGL,18,1.0,0.10034158386022762
GOOGL,25,0.0,0.05956870232505072
GOOGL,25,0.25,0.07290306946725235
GOOGL,25,0.5,0.08189970779476206
GOOGL,25,0.75,0.09000729039989075
GOOGL,25,1.0,0.10034158386022762
GOOGL,35,0.0,0.05589635064044198
GOOGL,35,0.25,0.07077296619410069
GOOGL,35,0.5,0.08070087954795203
GOOGL,35,0.75,0.08896737492709761
GOOGL,35,1.0,0.10034158386022762
GOOGL,50,0.0,0.04940287124612566
GOOGL,50,0.25,0.06629899764542105
GOOGL,50,0.5,0.07742390757471279
GOOGL,50,0.75,0.08648352858703896
GOOGL,50,1.0,0.10034158386022762
BTC-USD,1,0.0,0.09438851184553804
BTC-USD,1,0.25,0.09295154263726786
BTC-USD,1,0.5,0.09327372750966105
BTC-USD,1,0.75,0.09251729614256222
BTC-USD,1,1.0,0.09208634384332977
BTC-USD,3,0.0,0.08987169281060318
BTC-USD,3,0.25,0.0892476016012347
BTC-USD,3,0.5,0.0916880842874413
BTC-USD,3,0.75,0.09202997247039747
BTC-USD,3,1.0,0.09208634384332977
BTC-USD,5,0.0,0.08393622635233461
BTC-USD,5,0.25,0.08650995749297026
BTC-USD,5,0.5,0.09045815959986464
BTC-USD,5,0.75,0.09044714616872494
BTC-USD,5,1.0,0.09208634384332977
BTC-USD,8,0.0,0.08050216030990325
BTC-USD,8,0.25,0.08213245604671222
BTC-USD,8,0.5,0.08732150255450859
BTC-USD,8,0.75,0.08834798596107189
BTC-USD,8,1.0,0.09208634384332977
BTC-USD,12,0.0,0.07534884265567494
BTC-USD,12,0.25,0.07581400880780037
BTC-USD,12,0.5,0.08391369797747272
BTC-USD,12,0.75,0.08607287300930806
BTC-USD,12,1.0,0.09208634384332977
BTC-USD,18,0.0,0.0691727185389904
BTC-USD,18,0.25,0.07207793144811743
BTC-USD,18,0.5,0.08212293843330662
BTC-USD,18,0.75,0.0846574457026591
BTC-USD,18,1.0,0.09208634384332977
BTC-USD,25,0.0,0.06314950349774938
BTC-USD,25,0.25,0.0691612590622608
BTC-USD,25,0.5,0.07821472349711894
BTC-USD,25,0.75,0.08233956260997628
BTC-USD,25,1.0,0.09208634384332977
BTC-USD,35,0.0,0.060462858563970566
BTC-USD,35,0.25,0.06474783991464789
BTC-USD,35,0.5,0.07328506599004843
BTC-USD,35,0.75,0.08041793861244073
BTC-USD,35,1.0,0.09208634384332977
BTC-USD,50,0.0,0.0549128606363973
BTC-USD,50,0.25,0.060887763580343056
BTC-USD,50,0.5,0.07198172819826598
BTC-USD,50,0.75,0.07843452241591727
BTC-USD,50,1.0,0.09208634384332977
ETH-USD,1,0.0,0.09672730773955307
ETH-USD,1,0.25,0.09492716642737091
ETH-USD,1,0.5,0.09444784253295886
ETH-USD,1,0.75,0.09127398915313635
ETH-USD,1,1.0,0.09142835205849238
ETH-USD,3,0.0,0.08992737261553642
ETH-USD,3,0.25,0.08991673452970861
ETH-USD,3,0.5,0.09090898704346562
ETH-USD,3,0.75,0.09054900934047581
ETH-USD,3,1.0,0.09142835205849238
ETH-USD,5,0.0,0.08617322566329057
ETH-USD,5,0.25,0.08629581335331782
ETH-USD,5,0.5,0.08965701220041705
ETH-USD,5,0.75,0.08959744694466404
ETH-USD,5,1.0,0.09142835205849238
ETH-USD,8,0.0,0.08392117254799218
ETH-USD,8,0.25,0.08528333615041633
ETH-USD,8,0.5,0.0885651318703544
ETH-USD,8,0.75,0.08833133454037512
ETH-USD,8,1.0,0.09142835205849238
ETH-USD,12,0.0,0.07375626621057209
ETH-USD,12,0.25,0.07643666829441746
ETH-USD,12,0.5,0.08322853392421696
ETH-USD,12,0.75,0.08619401546089313
ETH-USD,12,1.0,0.09142835205849238
ETH-USD,18,0.0,0.06783241950337815
ETH-USD,18,0.25,0.07154271628133056
ETH-USD,18,0.5,0.08762700249694906
ETH-USD,18,0.75,0.09676141116892077
ETH-USD,18,1.0,0.09142835205849238
ETH-USD,25,0.0,0.06511092402374581
ETH-USD,25,0.25,0.07095940702566578
ETH-USD,25,0.5,0.0992447409619875
ETH-USD,25,0.75,0.10111012837042384
ETH-USD,25,1.0,0.09142835205849238
ETH-USD,35,0.0,0.06473961193308705
ETH-USD,35,0.25,0.0731039024395504
ETH-USD,35,0.5,0.20914043169082364
ETH-USD,35,0.75,0.21139106018160034
ETH-USD,35,1.0,0.09142835205849238
ETH-USD,50,0.0,0.06803897016424171
ETH-USD,50,0.25,0.06927998083171437
ETH-USD,50,0.5,0.0772347342534065
ETH-USD,50,0.75,0.08246387661574976
ETH-USD,50,1.0,0.09142835205849238
GLD,1,0.0,0.09426780296957955
GLD,1,0.25,0.09549191868912772
GLD,1,0.5,0.09546589597599915
GLD,1,0.75,0.09631368263683505
GLD,1,1.0,0.09734824357553508
GLD,3,0.0,0.09042257429582579
GLD,3,0.25,0.09238880970732244
GLD,3,0.5,0.09314958907901201
GLD,3,0.75,0.09359334547937548
GLD,3,1.0,0.09734824357553508
GLD,5,0.0,0.08414430527518119
GLD,5,0.25,0.08737595085359973
GLD,5,0.5,0.08928457490874585
GLD,5,0.75,0.09296192524580037
GLD,5,1.0,0.09734824357553508
GLD,8,0.0,0.0770039513363903
GLD,8,0.25,0.08191971879760697
GLD,8,0.5,0.08492944458025738
GLD,8,0.75,0.09111228772048491
GLD,8,1.0,0.09734824357553508
