ticker,n_mu,x,win_rate
SPY,1,0.0,0.46473084062582865
SPY,1,0.25,0.46731636170776986
SPY,1,0.5,0.469769291964996
SPY,1,0.75,0.4716918589233625
SPY,1,1.0,0.47487403871652084
SPY,3,0.0,0.46744895253248475
SPY,3,0.25,0.4693715194908512
SPY,3,0.5,0.47149297268629003
SPY,3,0.75,0.4719570405727924
SPY,3,1.0,0.47487403871652084
SPY,5,0.0,0.4689737470167064
SPY,5,0.25,0.471625563511005
SPY,5,0.5,0.4740784937682312
SPY,5,0.75,0.47288517634579685
SPY,5,1.0,0.47487403871652084
SPY,8,0.0,0.470763723150358
SPY,8,0.25,0.4709626093874304
SPY,8,0.5,0.47401219835587377
SPY,8,0.75,0.4696367011402811
SPY,8,1.0,0.47487403871652084
SPY,12,0.0,0.469769291964996
SPY,12,0.25,0.47155926809864757
SPY,12,0.5,0.4748077433041633
SPY,12,0.75,0.4679793158313445
SPY,12,1.0,0.47487403871652084
SPY,18,0.0,0.4726199946963671
SPY,18,0.25,0.46890745160434905
SPY,18,0.5,0.4706974277380005
SPY,18,0.75,0.4620790241315302
SPY,18,1.0,0.47487403871652084
SPY,25,0.0,0.47175815433571994
SPY,25,0.25,0.46797931583134456
SPY,25,0.5,0.4732166534075842
SPY,25,0.75,0.4589631397507293
SPY,25,1.0,0.47487403871652084
SPY,35,0.0,0.4755369928400954
SPY,35,0.25,0.46539379474940334
SPY,35,0.5,0.46400159108989664
SPY,35,0.75,0.4539246884115619
SPY,35,1.0,0.47487403871652084
SPY,50,0.0,0.46917263325377884
SPY,50,0.25,0.4579024131530098
SPY,50,0.5,0.4557146645452135
SPY,50,0.75,0.44895253248475203
SPY,50,1.0,0.47487403871652084
QQQ,1,0.0,0.47315035799522676
QQQ,1,0.25,0.4742773800053037
QQQ,1,0.5,0.47586846990188275
QQQ,1,0.75,0.4763988332007425
QQQ,1,1.0,0.4786528772208963
QQQ,3,0.0,0.4775258552108193
QQQ,3,0.25,0.4763988332007425
QQQ,3,0.5,0.47798992309732163
QQQ,3,0.75,0.47606735613895523
QQQ,3,1.0,0.4786528772208963
QQQ,5,0.0,0.47944842216918593
QQQ,5,0.25,0.47726067356138957
QQQ,5,0.5,0.4763325377883851
QQQ,5,0.75,0.4736807212940865
QQQ,5,1.0,0.4786528772208963
QQQ,8,0.0,0.4764651286130999
QQQ,8,0.25,0.4767966056748873
QQQ,8,0.5,0.473747016706444
QQQ,8,0.75,0.4716918589233625
QQQ,8,1.0,0.4786528772208963
QQQ,12,0.0,0.48223282948819945
QQQ,12,0.25,0.48057544417926285
QQQ,12,0.5,0.4720233359851498
QQQ,12,0.75,0.4676478387695571
QQQ,12,1.0,0.4786528772208963
QQQ,18,0.0,0.48123839830283743
QQQ,18,0.25,0.47798992309732163
QQQ,18,0.5,0.46678599840891016
QQQ,18,0.75,0.46373640944046673
QQQ,18,1.0,0.4786528772208963
QQQ,25,0.0,0.48031026252983294
QQQ,25,0.25,0.47487403871652073
QQQ,25,0.5,0.4706311323256431
QQQ,25,0.75,0.4571068682047203
QQQ,25,1.0,0.4786528772208963
QQQ,35,0.0,0.48674091752850707
QQQ,35,0.25,0.473481835057014
QQQ,35,0.5,0.46698488464598253
QQQ,35,0.75,0.4508750994431186
QQQ,35,1.0,0.4786528772208963
QQQ,50,0.0,0.49018827897109524
