,sharpe,sortino,std_returns,std_wins,std_losses,win_rate,profit_factor,calmar,recovery,payoff_ratio,skewness,kurtosis
sharpe,1.0,0.9843741131894349,0.4527685372596289,0.22854692830113904,0.23060570754031298,0.2577430109323221,0.6309886366917837,0.8757652724826991,0.6402390067024388,0.19901683196939812,-0.3057973141797979,-0.27464478868141995
sortino,0.9843741131894349,1.0,0.5819180805293181,0.32468185364018864,0.2603760776196441,0.22360097653057034,0.6890246138685556,0.8102291479345265,0.6161602661716213,0.34855072238910784,-0.35810627368243775,-0.36542766574711305
std_returns,0.4527685372596289,0.5819180805293181,1.0,0.8003140251248879,0.5272876136684396,-0.11002570054928555,0.5563755662001676,0.0945563903114784,0.17668943610921334,0.7406844396154046,-0.6869444344427375,-0.4700867949060292
std_wins,0.22854692830113904,0.32468185364018864,0.8003140251248879,1.0,0.9042017250996893,-0.43016635081778026,0.24903310355411762,0.04246000075422417,0.09221887030860859,0.5000978807440092,-0.8076654171743963,0.08671767109910736
std_losses,0.23060570754031298,0.2603760776196441,0.5272876136684396,0.9042017250996893,1.0,-0.5160784153878211,0.013294397099035637,0.20407379013830124,0.1958897428256696,0.14832619059105587,-0.7912585976816952,0.4509773824068852
win_rate,0.2577430109323221,0.22360097653057034,-0.11002570054928555,-0.43016635081778026,-0.5160784153878211,1.0,0.5167917327264876,0.10290082185479436,-0.14438903047599236,-0.25211640070284114,0.38795130937325,-0.48873111397561403
profit_factor,0.6309886366917837,0.6890246138685556,0.5563755662001676,0.24903310355411762,0.013294397099035637,0.5167917327264876,1.0,0.36675641215786825,0.1131374748171222,0.5217122765806201,-0.22629351919116883,-0.6232089966325948
calmar,0.8757652724826991,0.8102291479345265,0.0945563903114784,0.04246000075422417,0.20407379013830124,0.10290082185479436,0.36675641215786825,1.0,0.7822827123640758,-0.06802824965123204,-0.16298175761708544,0.060348661655593216
recovery,0.6402390067024388,0.6161602661716213,0.17668943610921334,0.09221887030860859,0.1958897428256696,-0.14438903047599236,0.1131374748171222,0.7822827123640758,1.0,0.049741792435992985,-0.16337175870849072,0.011533167667992878
payoff_ratio,0.19901683196939812,0.34855072238910784,0.7406844396154046,0.5000978807440092,0.14832619059105587,-0.25211640070284114,0.5217122765806201,-0.06802824965123204,0.049741792435992985,1.0,-0.31352493870251363,-0.5839270441268585
skewness,-0.3057973141797979,-0.35810627368243775,-0.6869444344427375,-0.8076654171743963,-0.7912585976816952,0.38795130937325,-0.22629351919116883,-0.16298175761708544,-0.16337175870849072,-0.31352493870251363,1.0,-0.15383674237887715
kurtosis,-0.27464478868141995,-0.36542766574711305,-0.4700867949060292,0.08671767109910736,0.4509773824068852,-0.48873111397561403,-0.6232089966325948,0.060348661655593216,0.011533167667992878,-0.5839270441268585,-0.15383674237887715,1.0
