ticker,timeframe,n_mu,x_zero,bear_alloc,fast_period,slow_period,in_sample_sharpe,in_sample_return,mc_sharpe_mean,mc_sharpe_std,mc_robust_sharpe,wf_pos_sharpe_frac,wf_mean_sharpe,wf_worst_return,runtime_s
IWM,1d,1,0.0,0.0,8,21,0.17436498054982122,0.15926054736522444,0.35401463608613704,0.1880272141611599,1.8827840303090795,0.42857142857142855,0.22067815730235538,-0.09542034945270328,0.12795209884643555
IWM,1d,1,0.0,0.0,9,21,0.12052268311442729,0.07112897288106912,0.2868660287843323,0.19529719329818537,1.4688691831138454,0.37142857142857144,-0.048440204183424415,-0.09542034945270328,0.12413811683654785
IWM,1d,1,0.0,0.0,10,30,0.14407129898148294,0.10886990685489906,0.22909554498355633,0.250663843876285,0.9139552854564311,0.2,-0.169821653070403,-0.09534534577238574,0.14458107948303223
IWM,1d,1,0.0,0.0,12,26,0.16533879583193994,0.14430841028588492,0.18143666639415507,0.24553960269059658,0.7389303574901628,0.2857142857142857,0.032593241062800746,-0.09534534577238574,0.10959720611572266
IWM,1d,1,0.0,0.0,20,50,0.13496292494243406,0.09409514026056387,0.21233375392719997,0.2542014875099894,0.8352970551317324,0.02857142857142857,0.10219107296242336,-0.004448458586258308,0.11601400375366211
IWM,1d,1,0.0,0.25,8,21,0.39809798799165325,0.2584819210807019,0.4352078744573709,0.05261207796429487,8.272014550589017,0.9142857142857143,1.3941392060738602,-0.046955555242871205,0.10819053649902344
IWM,1d,1,0.0,0.25,9,21,0.37265105503755874,0.14011124212688197,0.41553322232820766,0.05281300027619226,7.868010151953575,0.9142857142857143,1.3556059156876648,-0.046955555242871205,0.10854625701904297
IWM,1d,1,0.0,0.25,10,30,0.349274685119834,0.20765546871094287,0.3716377010281705,0.06463930643031444,5.749407311924381,0.6571428571428571,0.9936281366567974,-0.0479400249104911,0.10861778259277344
IWM,1d,1,0.0,0.25,12,26,0.3546218209170664,0.25506285223262837,0.3597594046759581,0.06334969374007676,5.678944655234607,0.7714285714285715,1.234020399401457,-0.0479400249104911,0.10741043090820312
IWM,1d,1,0.0,0.25,20,50,0.2459428518488791,-0.043121087531337254,0.2985093809190277,0.08597949579888677,3.4718670788354715,0.22857142857142856,0.4911583405018952,0.0,0.1000223159790039
IWM,1d,1,0.0,0.5,8,21,0.663272162217395,0.2992418612765546,0.6779425968761499,0.044907945153081656,15.096272932666757,0.9142857142857143,1.5016823059234135,-0.05986390702962363,0.13959026336669922
IWM,1d,1,0.0,0.5,9,21,0.6313798892907617,0.15398521363049222,0.6605131356566589,0.049202342448378907,13.424424586078242,0.9142857142857143,1.47037718758549,-0.05986390702962363,0.11416268348693848
IWM,1d,1,0.0,0.5,10,30,0.5784892947834269,0.25535220908851586,0.5897891324365038,0.04810013307905221,12.261694400453939,0.6571428571428571,1.0723571637452372,-0.061045191865317205,0.09873628616333008
IWM,1d,1,0.0,0.5,12,26,0.5815117822828568,0.31342474394422015,0.5851508511775989,0.05182930298603558,11.289961806649352,0.7714285714285715,1.3065784841018189,-0.061045191865317205,0.10238242149353027
IWM,1d,1,0.0,0.5,20,50,0.42061410038498565,-0.16713082143908087,0.4546795000768634,0.06282173829825834,7.237614118829133,0.22857142857142856,0.49857561697241437,0.0,0.09998750686645508
IWM,1d,1,0.0,0.75,8,21,0.8762730128559231,0.29223520913242096,0.8805154403019779,0.046482577389756294,18.942913447308616,0.9142857142857143,1.5741257436483216,-0.07277225881637583,0.11031675338745117
IWM,1d,1,0.0,0.75,9,21,0.8374366489518876,0.125163470710959,0.8623836507118385,0.054702405842183166,15.765004069470391,0.9142857142857143,1.5440284495874548,-0.07277225881637583,0.11933183670043945
IWM,1d,1,0.0,0.75,10,30,0.7626576035460775,0.2612788935768324,0.7691319104260492,0.04624778301223816,16.63067633366383,0.6571428571428571,1.1177704091955962,-0.07415035882014398,0.10834980010986328
IWM,1d,1,0.0,0.75,12,26,0.7647964575488868,0.32807818515525655,0.7680053740004563,0.052834988579200215,14.535923914305537,0.7714285714285715,1.3480385176814986,-0.07415035882014398,0.10283255577087402
IWM,1d,1,0.0,0.75,20,50,0.5638316169964562,-0.2785661768014621,0.5875391060686208,0.05721720869796966,10.268573379209068,0.22857142857142856,0.503765887171984,0.0,0.09479117393493652
IWM,1d,1,0.0,1.0,8,21,1.0466923350861965,0.24794035918843504,1.0442482979331367,0.04939209710039492,21.142011763756177,0.9142857142857143,1.629203582670328,-0.08568061060312826,0.10702753067016602
