ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
AAPL,1d,3,0.0,0.5,9/21,0.6197588063462294,0.06541304208079946,-0.55341810029977,0.8820627363502505,81,7
AAPL,1d,3,0.0,0.5,12/26,0.6223369235099928,0.13196792483312403,-0.5189578228009403,2.4456651653024712,65,6
AAPL,1d,3,0.0,0.75,9/21,0.7798367601197946,0.03573225726751761,-0.6869987441785437,0.41962125531457306,81,7
AAPL,1d,3,0.0,0.75,12/26,0.7476030643800708,0.11248698076151498,-0.6367387721519822,1.8975492187431704,65,6
AAPL,1d,3,0.0,1.0,9/21,0.9161214880425131,0.005764841895167461,-0.7782401405485042,0.05904635115945389,81,7
AAPL,1d,3,0.0,1.0,12/26,0.8595699829521383,0.09225698655743275,-0.7204778996255443,1.4126143129966775,65,6
AAPL,1d,3,0.25,0.5,9/21,0.6497109732217538,0.09967125209100902,-0.5026058869004713,1.5811307798941092,83,5
AAPL,1d,3,0.25,0.5,12/26,0.6272450401596045,0.12324066013302604,-0.47305736024743417,2.189530180682256,68,4
AAPL,1d,3,0.25,0.75,9/21,0.8072686586891156,0.07478643416738473,-0.612551882830207,1.0539992943046124,83,5
AAPL,1d,3,0.25,0.75,12/26,0.7603119877984764,0.10198307743523727,-0.5952010438242884,1.6357999736943167,68,4
AAPL,1d,3,0.25,1.0,9/21,0.9427355320074885,0.04934745431912746,-0.6962682499999673,0.6172533782115015,83,5
AAPL,1d,3,0.25,1.0,12/26,0.8779795959790994,0.0801070109548474,-0.6829283197381435,1.1577634248917348,68,4
AAPL,1d,3,0.5,0.5,9/21,0.670860657969714,0.1142697935128063,-0.5114014618871356,1.9442265623001491,86,3
AAPL,1d,3,0.5,0.5,12/26,0.6234159857652243,0.11155738776390045,-0.48627897017712773,1.8734758254793555,70,3
AAPL,1d,3,0.5,0.75,9/21,0.8320039014970622,0.09137988972242939,-0.6025982137721719,1.393348706109181,86,3
AAPL,1d,3,0.5,0.75,12/26,0.7616240590628494,0.08809578876214363,-0.5969396660871107,1.3224360927362384,70,3
AAPL,1d,3,0.5,1.0,9/21,0.9707049077113212,0.06791368536227926,-0.6900897346457737,0.926616729105953,86,3
AAPL,1d,3,0.5,1.0,12/26,0.8830405438140262,0.06396478715253195,-0.7023334298856441,0.8566852080914458,70,3
AAPL,1d,3,0.75,0.5,9/21,0.6803122004342037,0.113685201156136,-0.547344264780947,1.9288468357660675,90,1
AAPL,1d,3,0.75,0.5,12/26,0.6155464285832776,0.08675355316238686,-0.5332954307068906,1.2940020502364442,74,1
AAPL,1d,3,0.75,0.75,9/21,0.8472405616028674,0.09085447308386785,-0.6341764674502253,1.3818742342590755,90,1
AAPL,1d,3,0.75,0.75,12/26,0.7643189034962583,0.05959179709425921,-0.6703442792501002,0.7819154511850412,74,1
AAPL,1d,3,0.75,1.0,9/21,0.9904082468704486,0.06747774289124675,-0.70357558515924,0.9187818931715659,90,1
AAPL,1d,3,0.75,1.0,12/26,0.8930309289290347,0.03192269961755523,-0.7665100093246769,0.36836161197528305,74,1
AAPL,1d,5,0.0,0.5,9/21,0.5827904257815214,0.06707543472337307,-0.5687813821042647,0.9115769878312503,69,12
AAPL,1d,5,0.0,0.5,12/26,0.5698313399358137,0.09547245421109984,-0.5388100022199648,1.4844420612228983,57,11
AAPL,1d,5,0.0,0.75,9/21,0.7251580703475465,0.03750442909052465,-0.678076581875446,0.44405033874288047,69,12
AAPL,1d,5,0.0,0.75,12/26,0.6886421360535153,0.07108521643539878,-0.6538791692814412,0.9844881221926371,57,11
AAPL,1d,5,0.0,1.0,9/21,0.848184882121921,0.007606497541703838,-0.7629152420432385,0.07855996817427724,69,12
AAPL,1d,5,0.0,1.0,12/26,0.794526563581408,0.04622544270940465,-0.735642839351061,0.5698688858055709,57,11
AAPL,1d,5,0.25,0.5,9/21,0.6197305419156912,0.09910116463406382,-0.5148544144277454,1.5678073705962348,73,9
AAPL,1d,5,0.25,0.5,12/26,0.5638836643894728,0.07423763430955121,-0.5138097790246191,1.0435560831296669,60,8
AAPL,1d,5,0.25,0.75,9/21,0.7630423214264073,0.07430635987036438,-0.608339409588865,1.0448612519693743,73,9
AAPL,1d,5,0.25,0.75,12/26,0.6925266634048646,0.045530329671323866,-0.6316271316206796,0.5594903580093469,60,8
AAPL,1d,5,0.25,1.0,9/21,0.8878025142823386,0.049011168815395134,-0.6849009879955732,0.6120882690070721,73,9
AAPL,1d,5,0.25,1.0,12/26,0.8053873865473921,0.016411667055653112,-0.7190681986475843,0.17640305767005304,60,8
AAPL,1d,5,0.5,0.5,9/21,0.6501974334428773,0.10938252573645157,-0.545157186787186,1.817855626128944,80,5
AAPL,1d,5,0.5,0.5,12/26,0.5791306559115461,0.0850227553937506,-0.5240445899950045,1.2577991879926649,62,6
AAPL,1d,5,0.5,0.75,9/21,0.8038517039762519,0.08588047976502011,-0.6269723408103571,1.2756753253584203,80,5
AAPL,1d,5,0.5,0.75,12/26,0.7093090016708307,0.05788705763238644,-0.6212262834613438,0.753509537935233,62,6
AAPL,1d,5,0.5,1.0,9/21,0.9368363776793687,0.06183983716254615,-0.7102759348490717,0.820007190926419,80,5
AAPL,1d,5,0.5,1.0,12/26,0.8237443799302938,0.03028716090825312,-0.7073119066046651,0.34687027845032037,62,6
AAPL,1d,5,0.75,0.5,9/21,0.6683168662361461,0.10483472811402095,-0.5408728755749637,1.7046688253582838,88,2
AAPL,1d,5,0.75,0.5,12/26,0.6095288848939645,0.09339260288576301,-0.5233847134008992,1.4377656134740975,70,3
AAPL,1d,5,0.75,0.75,9/21,0.8336944432793926,0.08033094617749392,-0.6491177252461947,1.162232330950392,88,2
AAPL,1d,5,0.75,0.75,12/26,0.7512020737439875,0.06736609087006129,-0.6387876670390993,0.9167798802826288,70,3
AAPL,1d,5,0.75,1.0,9/21,0.9755125425258497,0.0552525056403963,-0.7352020861524363,0.7104110747479417,88,2
AAPL,1d,5,0.75,1.0,12/26,0.8746753159513043,0.040836903664015045,-0.740090096090265,0.4910147033739227,70,3
AAPL,1d,8,0.0,0.5,9/21,0.5629524695338247,0.0768643543140588,-0.5833921250910308,1.0939769630200122,60,18
AAPL,1d,8,0.0,0.5,12/26,0.536782826310149,0.097802477855232,-0.5529294163883234,1.5376867682362092,47,17
