ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
BTC-USD,1d,1,0.0,0.0,9/21,0.951430220013036,0.34891772747600736,-0.7152424044801571,34.27329078675816,102,10
BTC-USD,1d,1,0.0,0.0,12/26,0.9777463482980349,0.36806515106588833,-0.6507471628093194,40.71755159624426,82,2
BTC-USD,1d,1,0.0,0.0,20/50,0.9306905400358583,0.3461741418763036,-0.6488853474310075,33.42861663007984,46,0
BTC-USD,1d,1,0.0,0.5,9/21,0.8523613382274575,0.3677950865204851,-0.7211925679717183,40.61961772420153,103,10
BTC-USD,1d,1,0.0,0.5,12/26,0.839976180107984,0.4047904982270025,-0.6786663900560437,56.184784523023616,82,2
BTC-USD,1d,1,0.0,0.5,20/50,0.7853372605237204,0.3834586625797478,-0.6329462961316376,46.66163028670724,46,0
BTC-USD,1d,1,0.0,0.75,9/21,0.974985046382673,0.362385452885821,-0.7754245131325996,38.70173595750076,103,10
BTC-USD,1d,1,0.0,0.75,12/26,0.9297791950286197,0.4098753826012236,-0.733402695366042,58.69817323415445,82,2
BTC-USD,1d,1,0.0,0.75,20/50,0.8171893957442825,0.39155182420758017,-0.679713189150561,50.08883643931868,46,0
BTC-USD,1d,1,0.0,1.0,9/21,1.0906682654473148,0.3486360511034039,-0.8175982122448751,34.1857042722099,103,10
BTC-USD,1d,1,0.0,1.0,12/26,1.0209517761630267,0.40749372096517034,-0.7727586518758998,57.50861722482175,82,2
BTC-USD,1d,1,0.0,1.0,20/50,0.8629753635211466,0.39391287499766703,-0.7248281179330048,51.13037241180137,46,0
BTC-USD,1d,1,0.25,0.0,9/21,0.9658370279740333,0.3576863469131599,-0.7351534665622368,37.10183058270161,106,7
BTC-USD,1d,1,0.25,0.0,12/26,0.9682417492417295,0.36221499241932253,-0.6512537695368428,38.64264001921882,82,2
BTC-USD,1d,1,0.25,0.0,20/50,0.9129200758831715,0.33593688358251717,-0.6607498707047188,30.43776555472554,46,0
BTC-USD,1d,1,0.25,0.5,9/21,0.8627474587104527,0.37700851608444563,-0.7552110322580241,44.08244423799904,107,7
BTC-USD,1d,1,0.25,0.5,12/26,0.8349744455470685,0.39501571867938634,-0.6781538811650927,51.62350556654679,82,2
BTC-USD,1d,1,0.25,0.5,20/50,0.7777731814669999,0.3685482346442759,-0.6219180671826119,40.893259518567376,46,0
BTC-USD,1d,1,0.25,0.75,9/21,0.9880656706377113,0.37085924961656613,-0.8093952140240721,41.743242129637856,107,7
BTC-USD,1d,1,0.25,0.75,12/26,0.9240935206277809,0.397885105171905,-0.7330410131856022,52.92663263067771,82,2
BTC-USD,1d,1,0.25,0.75,20/50,0.8097626274416211,0.37388011753816364,-0.6910360861615137,42.87812673977514,46,0
BTC-USD,1d,1,0.25,1.0,9/21,1.1065414418197557,0.35577086380146405,-0.8508586196945265,36.466781405667916,107,7
BTC-USD,1d,1,0.25,1.0,12/26,1.0154818467430682,0.393213709563069,-0.7725343426684053,50.81993898262224,82,2
BTC-USD,1d,1,0.25,1.0,20/50,0.8560806564460539,0.3729409689126135,-0.7546190688578212,42.52238382694683,46,0
BTC-USD,1d,1,0.5,0.0,9/21,0.9262026663643843,0.33630164821777964,-0.746936124577555,30.540105649476196,112,4
BTC-USD,1d,1,0.5,0.0,12/26,0.960929126317896,0.3578847727499759,-0.6293282854248523,37.16817607618064,86,0
BTC-USD,1d,1,0.5,0.0,20/50,0.9530498520023842,0.357675548809014,-0.6517343530103332,37.098223170384,46,0
BTC-USD,1d,1,0.5,0.5,9/21,0.8545293427613705,0.34272156953628086,-0.765290360176475,32.3920011289154,113,4
BTC-USD,1d,1,0.5,0.5,12/26,0.8372582463751315,0.388066795327237,-0.7065334185466231,48.58627588316609,86,0
BTC-USD,1d,1,0.5,0.5,20/50,0.8049401849745232,0.40310410507232075,-0.5908750413820922,55.37287464387917,46,0
BTC-USD,1d,1,0.5,0.75,9/21,0.9908802062960247,0.32971465716992876,-0.8182001286272083,28.738218729302417,113,4
