ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
GLD,1d,3,0.0,0.5,9/21,0.637847629993988,0.04815311191333693,-0.5058227915640552,0.5989763053969279,93,14
GLD,1d,3,0.0,0.5,12/26,0.5654657181583865,0.04272260782695492,-0.4551722278061885,0.5181944738381952,71,9
GLD,1d,3,0.0,0.75,9/21,0.8344799189580255,0.05152103581667866,-0.6045857878353409,0.6509987944347557,93,14
GLD,1d,3,0.0,0.75,12/26,0.7356058651500172,0.044820354683403396,-0.5611987854438916,0.5489537031047422,71,9
GLD,1d,3,0.0,1.0,9/21,0.9928078797019557,0.052451674542661086,-0.6769438983677185,0.6656398988197476,93,14
GLD,1d,3,0.0,1.0,12/26,0.872882347530935,0.044399186362878984,-0.6388499169800099,0.5427335075918498,71,9
GLD,1d,3,0.25,0.5,9/21,0.6494303194499172,0.03996762741655857,-0.5001167264814181,0.4786333968822942,99,10
GLD,1d,3,0.25,0.5,12/26,0.5791885313154397,0.0435550613497917,-0.4913386280998667,0.5303343250515833,75,7
GLD,1d,3,0.25,0.75,9/21,0.8543531307795958,0.04189364900085324,-0.6026167504582958,0.5061917646339991,99,10
GLD,1d,3,0.25,0.75,12/26,0.7545169637567904,0.04568325502256387,-0.5950824668597903,0.5617683292225764,75,7
GLD,1d,3,0.25,1.0,9/21,1.0189368280313567,0.04140440762437558,-0.6945513146581701,0.4991480457262589,99,10
GLD,1d,3,0.25,1.0,12/26,0.8959169672976859,0.04526916085829602,-0.6707087529861115,0.5556069075693266,75,7
GLD,1d,3,0.5,0.5,9/21,0.6773475579182107,0.05427629251052157,-0.45128084071371544,0.6946849058435631,105,7
GLD,1d,3,0.5,0.5,12/26,0.6044013093985711,0.07615529324278292,-0.4147686103459247,1.0802571449571006,75,5
GLD,1d,3,0.5,0.75,9/21,0.8869427040574029,0.058681074761123275,-0.5520592995974077,0.7666890771223793,105,7
GLD,1d,3,0.5,0.75,12/26,0.7744560568127807,0.08443260943682462,-0.5111885166767807,1.2455732279351985,75,5
GLD,1d,3,0.5,1.0,9/21,1.0556475574382274,0.06066559818444839,-0.6366855914269516,0.8000199618890369,105,7
GLD,1d,3,0.5,1.0,12/26,0.9128812222623566,0.09021005217262346,-0.5825900596878741,1.367868451180001,75,5
GLD,1d,3,0.75,0.5,9/21,0.680121464710075,0.050030221254824925,-0.44682432608842537,0.627786032293977,107,4
GLD,1d,3,0.75,0.5,12/26,0.6092093248775604,0.0745213894354364,-0.4115616034273951,1.0489497299692392,77,5
GLD,1d,3,0.75,0.75,9/21,0.8926960367971272,0.05365122568575109,-0.5535283727194993,0.6846839257304207,107,4
GLD,1d,3,0.75,0.75,12/26,0.7824125358167021,0.08262413681713099,-0.5110355667832709,1.2084774641766058,77,5
GLD,1d,3,0.75,1.0,9/21,1.0635961572093309,0.054844089941859187,-0.6521309039290439,0.7038158532256102,107,4
GLD,1d,3,0.75,1.0,12/26,0.923225039041173,0.08824785107119237,-0.5863478033352785,1.3256773104561406,77,5
GLD,1d,5,0.0,0.5,9/21,0.6073813864487521,0.08066365209117765,-0.4679693114628265,1.1688872706697784,75,24
GLD,1d,5,0.0,0.5,12/26,0.5574768095746653,0.05191400136878377,-0.46152644226355866,0.6571668684634566,67,11
GLD,1d,5,0.0,0.75,9/21,0.7764660815374499,0.08996732489352,-0.5660820356095148,1.3626122823254936,75,24
GLD,1d,5,0.0,0.75,12/26,0.7203336366526044,0.05536856936857104,-0.5615725052295915,0.7122894941219289,67,11
GLD,1d,5,0.0,1.0,9/21,0.9143126216735944,0.09682638811661648,-0.6388513269833842,1.5152578759404407,75,24
GLD,1d,5,0.0,1.0,12/26,0.8523760170054978,0.056229351823809726,-0.6660084614247355,0.7262787594248377,67,11
GLD,1d,5,0.25,0.5,9/21,0.6143804431703173,0.050341384651813925,-0.47442173533386056,0.6326066135266855,85,17
GLD,1d,5,0.25,0.5,12/26,0.5641772773275605,0.043964330217008296,-0.48780538911815585,0.5363347499519173,71,9
GLD,1d,5,0.25,0.75,9/21,0.8013887740888309,0.05415246729868928,-0.5716227564495977,0.6926994875015144,85,17
GLD,1d,5,0.25,0.75,12/26,0.7340613734940665,0.04593800197784281,-0.5999456722683029,0.5655696805994335,71,9
GLD,1d,5,0.25,1.0,9/21,0.9522310037619719,0.05553400311124368,-0.6443011775215088,0.7149701451067103,85,17
GLD,1d,5,0.25,1.0,12/26,0.8713085839975442,0.04530788873384961,-0.6993702510602684,0.5561822217762715,71,9
GLD,1d,5,0.5,0.5,9/21,0.6501019944976593,0.05807055354938173,-0.4427573888814874,0.7565474202596965,95,11
GLD,1d,5,0.5,0.5,12/26,0.5828628170384826,0.06640233815064867,-0.4316783564363035,0.8995769731348684,71,7
GLD,1d,5,0.5,0.75,9/21,0.8480256705846062,0.06327632920187276,-0.5408858916991797,0.8447297991486351,95,11
GLD,1d,5,0.5,0.75,12/26,0.7491243342551739,0.07278142948911737,-0.5285898596414629,1.0160768748638254,71,7
GLD,1d,5,0.5,1.0,9/21,1.0076955358766782,0.06607963738446188,-0.6168615313348987,0.8938479148783911,95,11
GLD,1d,5,0.5,1.0,12/26,0.8843020712929197,0.07659603937328696,-0.6190597248154872,1.0887757171854124,71,7
GLD,1d,5,0.75,0.5,9/21,0.6746068290875825,0.04242894423387744,-0.47137078874440796,0.513932634720532,107,3
GLD,1d,5,0.75,0.5,12/26,0.5987372541529399,0.07003651836824054,-0.4171302460340436,0.9651816060186984,75,6
GLD,1d,5,0.75,0.75,9/21,0.8883028254731128,0.044815217072857294,-0.5879188172132879,0.5488776904584556,107,3
GLD,1d,5,0.75,0.75,12/26,0.7699602415122381,0.07723061620490346,-0.514383431691491,1.101095707600742,75,6
GLD,1d,5,0.75,1.0,9/21,1.0598427196673028,0.0447996685085279,-0.682517351414706,0.5486476647593441,107,3
