ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
GOOGL,1d,3,0.0,0.5,9/21,0.6298470973208418,0.0691831024847196,-0.6021623600948824,0.9495951447183015,82,19
GOOGL,1d,3,0.0,0.5,12/26,0.5644953476948672,0.025107471188670294,-0.6721271379137335,0.28079702163743003,72,10
GOOGL,1d,3,0.0,0.75,9/21,0.7930087680718851,0.042909821150288296,-0.6877778780443012,0.5209170682911564,82,19
GOOGL,1d,3,0.0,0.75,12/26,0.7213929345286424,-0.007022976853070961,-0.7537691898277863,-0.0679209999677296,72,10
GOOGL,1d,3,0.0,1.0,9/21,0.931385289089906,0.016305731785361433,-0.7544051396331074,0.17517995954760646,82,19
GOOGL,1d,3,0.0,1.0,12/26,0.8536187473688202,-0.03911987042437581,-0.8141977976866259,-0.32851550327664025,72,10
GOOGL,1d,3,0.25,0.5,9/21,0.6518574338373077,0.07056807278855337,-0.5175541653835749,0.9749462894697596,90,15
GOOGL,1d,3,0.25,0.5,12/26,0.5769551675985625,0.02455244988565153,-0.6823588660569686,0.27389299503005526,76,8
GOOGL,1d,3,0.25,0.75,9/21,0.8255800680312673,0.04488189910321028,-0.5997512688085906,0.5498645341190957,90,15
GOOGL,1d,3,0.25,0.75,12/26,0.7399035303930814,-0.007405047252621588,-0.7615852172433752,-0.07149409174879884,76,8
GOOGL,1d,3,0.25,1.0,9/21,0.9721755085529836,0.01897616165404692,-0.6952422391976703,0.20636368722715814,90,15
GOOGL,1d,3,0.25,1.0,12/26,0.8767265297620528,-0.039239623162321324,-0.8181115892384395,-0.32935023450890777,76,8
GOOGL,1d,3,0.5,0.5,9/21,0.6534450772977525,0.030869249277913013,-0.6277562230120681,0.35448397957375066,100,10
GOOGL,1d,3,0.5,0.5,12/26,0.5935320622113721,0.030838392095751344,-0.684561680956048,0.3540793984360495,80,6
GOOGL,1d,3,0.5,0.75,9/21,0.8458708202952501,7.503963808375147e-05,-0.7086739124058054,0.0007491598818520906,100,10
