ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
IWM,1d,3,0.0,0.5,9/21,0.6167775335758606,0.03896057373287842,-0.6184528142280494,0.4644054177091341,88,9
IWM,1d,3,0.0,0.5,12/26,0.5497020598767085,0.02140944970525327,-0.5996949606738649,0.23542440867059877,71,10
IWM,1d,3,0.0,0.75,9/21,0.8072019320259092,0.0406180734125281,-0.6955067018170201,0.4878890982680728,88,9
IWM,1d,3,0.0,0.75,12/26,0.7237840877312147,0.02087906584382293,-0.6872341630123973,0.22903689716674291,71,10
IWM,1d,3,0.0,1.0,9/21,0.960315257099152,0.03932640679508825,-0.7538922844757854,0.46955971411746233,88,9
IWM,1d,3,0.0,1.0,12/26,0.8632184068931159,0.01751549946859554,-0.7510323515041002,0.18921590889294215,71,10
IWM,1d,3,0.25,0.5,9/21,0.6233143139413565,0.04178583410966619,-0.6272536991865731,0.5046369762156107,90,8
IWM,1d,3,0.25,0.5,12/26,0.5594374298835404,0.0005756283366895598,-0.612547016172054,0.005759733196233796,79,5
IWM,1d,3,0.25,0.75,9/21,0.8162004504336805,0.0438202573495583,-0.7037852178495905,0.5342200403141644,90,8
IWM,1d,3,0.25,0.75,12/26,0.7474461661812125,-0.0037611119167529905,-0.7089263014922884,-0.03690888984436014,79,5
IWM,1d,3,0.25,1.0,9/21,0.9713720974779894,0.042869141903104646,-0.7600789609793928,0.5203251073226007,90,8
IWM,1d,3,0.25,1.0,12/26,0.897105598469812,-0.010936913623039723,-0.7969270718739713,-0.10394493895625401,79,5
IWM,1d,3,0.5,0.5,9/21,0.6203627492416859,0.022675339869965283,-0.6455672395467595,0.2507906548482166,94,6
IWM,1d,3,0.5,0.5,12/26,0.5747862943938875,0.0041609748881306086,-0.6575360981899718,0.04231169697860815,83,3
IWM,1d,3,0.5,0.75,9/21,0.8215326777051085,0.021687564256955838,-0.720142214391746,0.23878571805546223,94,6
IWM,1d,3,0.5,0.75,12/26,0.7671119730882807,0.0001521920609204308,-0.7401285985439296,0.0015199392934488465,83,3
IWM,1d,3,0.5,1.0,9/21,0.9825188370262102,0.01781373725708768,-0.7748045925810505,0.192699213249381,94,6
IWM,1d,3,0.5,1.0,12/26,0.9203767050270366,-0.0067415001830402055,-0.7992161380309578,-0.06528074293309272,83,3
IWM,1d,3,0.75,0.5,9/21,0.6461632399411456,0.0435687963565794,-0.5844566170684944,0.5305353560101329,98,4
IWM,1d,3,0.75,0.5,12/26,0.5929067767394738,0.020812958644622404,-0.564331164134942,0.2282428422142635,85,2
IWM,1d,3,0.75,0.75,9/21,0.8486233739087726,0.04510717559772348,-0.661675361245621,0.5532026416596512,98,4
IWM,1d,3,0.75,0.75,12/26,0.785155803803429,0.019505352772590356,-0.655463463705671,0.21263093925517929,85,2
IWM,1d,3,0.75,1.0,9/21,1.0114785231101031,0.04352481588124668,-0.7374160350301631,0.5298917242468995,98,4
IWM,1d,3,0.75,1.0,12/26,0.939002339612554,0.015240490158610953,-0.7424832749566702,0.16294443596186414,85,2
IWM,1d,5,0.0,0.5,9/21,0.5854307754803199,0.04748620429976702,-0.5944367677885908,0.5888516554576293,76,16
IWM,1d,5,0.0,0.5,12/26,0.5297527083466733,0.03956531329468249,-0.5930255928497372,0.4729345213909453,61,17
IWM,1d,5,0.0,0.75,9/21,0.7594288118309793,0.05017354339053259,-0.6836639091028434,0.630004802972149,76,16
IWM,1d,5,0.0,0.75,12/26,0.6866280563278592,0.04194675256952274,-0.680176874230696,0.5069580974533823,61,17
IWM,1d,5,0.0,1.0,9/21,0.8999607876823839,0.04977441824709605,-0.7491750378248082,0.6238326973714861,76,16
IWM,1d,5,0.0,1.0,12/26,0.8132793498770607,0.041391670207750364,-0.7441205219371895,0.49896505879925357,61,17
IWM,1d,5,0.25,0.5,9/21,0.6154135188583985,0.05623816637785595,-0.5644407690615971,0.7264225421669823,84,12
IWM,1d,5,0.25,0.5,12/26,0.541462787907986,0.012792307903717326,-0.6326164721373382,0.1352575813073844,71,9
IWM,1d,5,0.25,0.75,9/21,0.7984994466451398,0.06053727972350664,-0.6703882743158991,0.7978478133058244,84,12
IWM,1d,5,0.25,0.75,12/26,0.7171733765250673,0.010353986831073358,-0.716786131733502,0.1082732069583936,71,9
IWM,1d,5,0.25,1.0,9/21,0.9465234480820935,0.06179055185792515,-0.746830239480766,0.8191642862280588,84,12
IWM,1d,5,0.25,1.0,12/26,0.8576002278567358,0.004980455723112787,-0.7778909087852452,0.05083214517209922,71,9
IWM,1d,5,0.5,0.5,9/21,0.6207474637216043,0.03997507309293047,-0.5759347084650219,0.47873905339101785,90,8
IWM,1d,5,0.5,0.5,12/26,0.5556997230831875,0.014618337053098118,-0.6668752257435697,0.1558514342523445,75,7
IWM,1d,5,0.5,0.75,9/21,0.8141133445876126,0.04164251151333498,-0.6695347945444781,0.5025723704207705,90,8
IWM,1d,5,0.5,0.75,12/26,0.7363345478882749,0.012128646131640108,-0.7473939011491371,0.12785504050462704,75,7
IWM,1d,5,0.5,1.0,9/21,0.9696300851785964,0.040343810048126816,-0.7459889533391955,0.4839800542706354,90,8
IWM,1d,5,0.5,1.0,12/26,0.8807871802763538,0.006634686436601811,-0.8051339376031703,0.0682230124627663,75,7
IWM,1d,5,0.75,0.5,9/21,0.6401836054417209,0.035186181450026055,-0.5916069055883113,0.4121690040512944,98,4
IWM,1d,5,0.75,0.5,12/26,0.5854383239750072,0.02876625311284542,-0.5595856317085837,0.32715826564500583,81,4
IWM,1d,5,0.75,0.75,9/21,0.8437434686645731,0.0352217921937783,-0.6982184387895892,0.4126539058374785,98,4
IWM,1d,5,0.75,0.75,12/26,0.7715158220805631,0.028912552626302546,-0.6508064033869212,0.32904305865650874,81,4
IWM,1d,5,0.75,1.0,9/21,1.0071987598956185,0.03217251349373629,-0.7729228136126647,0.3716712450010553,98,4
IWM,1d,5,0.75,1.0,12/26,0.9208018573012695,0.02610324080474724,-0.7213006463415261,0.2932680480935015,81,4
IWM,1d,8,0.0,0.5,9/21,0.5450284030347945,0.07174639601974553,-0.5160452820180781,0.9967479794469083,58,24
IWM,1d,8,0.0,0.5,12/26,0.4844637634895326,-0.0053418508840686885,-0.5579326305154745,-0.05205180290908684,60,15
IWM,1d,8,0.0,0.75,9/21,0.6894543717565704,0.07941599155906864,-0.6138683516281002,1.1440256151036858,58,24
IWM,1d,8,0.0,0.75,12/26,0.6424434565756755,-0.018023891385978152,-0.644763358872481,-0.1660002058113409,60,15
IWM,1d,8,0.0,1.0,9/21,0.8076575474111033,0.08410650520890472,-0.6941497262900856,1.238842962278191,58,24
IWM,1d,8,0.0,1.0,12/26,0.7701732525473531,-0.031087789197862148,-0.7318078933878179,-0.27034690984036236,60,15
IWM,1d,8,0.25,0.5,9/21,0.562950312007131,0.04604711941319728,-0.6094191272227375,0.5672004836018743,70,19
IWM,1d,8,0.25,0.5,12/26,0.5345506281543908,0.01403113701444858,-0.561048671486553,0.14919265600220455,69,10
IWM,1d,8,0.25,0.75,9/21,0.7298407849740878,0.0491645093128148,-0.7106856948031869,0.6144416274776201,70,19
IWM,1d,8,0.25,0.75,12/26,0.7076812159200392,0.012613909583638172,-0.6682317466236047,0.13326342698117744,69,10
IWM,1d,8,0.25,1.0,9/21,0.8646602839500789,0.0493368639853875,-0.7817633271238287,0.6170904913074828,70,19
IWM,1d,8,0.25,1.0,12/26,0.8460560386436023,0.0084239169141902,-0.7607008837288133,0.0873242875010598,69,10
IWM,1d,8,0.5,0.5,9/21,0.6025405851016103,0.03180423375450658,-0.6402405509045197,0.3667946425088693,86,10
IWM,1d,8,0.5,0.5,12/26,0.5546213866088273,0.02136968123957117,-0.6314336953235032,0.2349444358249806,73,8
IWM,1d,8,0.5,0.75,9/21,0.7922625831967162,0.03192684412505509,-0.7371173373631468,0.3684164613809948,86,10
IWM,1d,8,0.5,0.75,12/26,0.7317644152437398,0.02087070710862804,-0.7151119314610003,0.22893646966199754,73,8
IWM,1d,8,0.5,1.0,9/21,0.9446190785277317,0.02902974506613787,-0.8043573796423105,0.3305545990120169,86,10
IWM,1d,8,0.5,1.0,12/26,0.8736198940237306,0.01753337601658056,-0.7758185734200685,0.18942444201452857,73,8
IWM,1d,8,0.75,0.5,9/21,0.6211854377472193,0.009361196173853337,-0.6305875852955269,0.09745256397160795,98,4
IWM,1d,8,0.75,0.5,12/26,0.5802050193357439,0.029554828325638605,-0.542465445086258,0.3373460979790086,79,4
IWM,1d,8,0.75,0.75,9/21,0.8288588554624551,0.005145972065328852,-0.7313701124941036,0.05256066849722507,98,4
IWM,1d,8,0.75,0.75,12/26,0.7638245115015062,0.030256230249665395,-0.6349947262125497,0.3464667858672985,79,4
IWM,1d,8,0.75,1.0,9/21,0.9946292069427692,-0.0020847975501968596,-0.8082354092541421,-0.02061291794053821,98,4
IWM,1d,8,0.75,1.0,12/26,0.911121751695337,0.028072925454166953,-0.7103728985673292,0.3182587134824073,79,4
IWM,1d,12,0.0,0.5,9/21,0.42565306419312443,-0.03125254787770926,-0.6327900057260782,-0.27158424166074246,53,29
IWM,1d,12,0.0,0.5,12/26,0.4529114203475826,0.012273026890179839,-0.6344957673069932,0.1294617691009723,48,26
IWM,1d,12,0.0,0.75,9/21,0.5766572994108071,-0.048355683119977844,-0.7289323880609953,-0.39021930078147005,53,29
IWM,1d,12,0.0,0.75,12/26,0.5888180213472067,0.0021565220159247556,-0.7057317022422528,0.021732032758433162,48,26
IWM,1d,12,0.0,1.0,9/21,0.6979158109037039,-0.0657937260740894,-0.8102700717481177,-0.49299265770450484,53,29
IWM,1d,12,0.0,1.0,12/26,0.7001179375037532,-0.008370043009365724,-0.7583753429941,-0.08046384365321257,48,26
IWM,1d,12,0.25,0.5,9/21,0.46144608846835805,-0.027167952213294044,-0.7105365590194972,-0.24034564110517642,61,23
IWM,1d,12,0.25,0.5,12/26,0.5131881430308949,0.02274267010660691,-0.5848997600896104,0.25161275138927675,61,17
IWM,1d,12,0.25,0.75,9/21,0.6237686399007378,-0.04358885149845404,-0.7923901403078486,-0.35904087635589055,61,23
IWM,1d,12,0.25,0.75,12/26,0.6736512757244617,0.022330372962338974,-0.665774569926554,0.24658625468377537,61,17
IWM,1d,12,0.25,1.0,9/21,0.7540892163628364,-0.060337842494868066,-0.8484561101367364,-0.46265446302179414,61,23
IWM,1d,12,0.25,1.0,12/26,0.8024347867140506,0.01906693437908169,-0.732290480605657,0.20743664040966525,61,17
IWM,1d,12,0.5,0.5,9/21,0.5205626869871173,-0.023255027707810072,-0.704269361939013,-0.2092947936698778,75,15
