ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
QQQ,1d,3,0.0,0.5,9/21,0.5894617910530774,0.04839873353155544,-0.45062833449152007,0.602719809758925,77,12
QQQ,1d,3,0.0,0.5,12/26,0.5520478549274369,0.059184864695213335,-0.467732242610165,0.7750974127346248,62,5
QQQ,1d,3,0.0,0.75,9/21,0.7519504881499652,0.026696811998963454,-0.5524711843961616,0.30075381074524765,77,12
QQQ,1d,3,0.0,0.75,12/26,0.6922440516014426,0.03922488627997711,-0.561441157894307,0.4681277370296668,62,5
QQQ,1d,3,0.0,1.0,9/21,0.8880085236702544,0.004972025400409974,-0.6357982382911078,0.05074417386930086,77,12
QQQ,1d,3,0.0,1.0,12/26,0.8116590034577956,0.01910353050838398,-0.6372066158651901,0.20786945737058504,62,5
QQQ,1d,3,0.25,0.5,9/21,0.605005765991422,0.054377084251317154,-0.46591012773354334,0.6963025513278618,81,10
QQQ,1d,3,0.25,0.5,12/26,0.5611355376886472,0.06310653034985858,-0.5030947990576339,0.8417918286496127,64,4
QQQ,1d,3,0.25,0.75,9/21,0.7722170038064586,0.033199400868696216,-0.574717109977158,0.38535164637481767,81,10
QQQ,1d,3,0.25,0.75,12/26,0.7038931253270841,0.04406063678670691,-0.600565697146592,0.5377498053880307,64,4
QQQ,1d,3,0.25,1.0,9/21,0.9122258217350246,0.01189450202669895,-0.6544271667397838,0.1252537600701773,81,10
QQQ,1d,3,0.25,1.0,12/26,0.825419568363101,0.024895442114530653,-0.67359545999333,0.27815558329974466,64,4
QQQ,1d,3,0.5,0.5,9/21,0.640107253906061,0.08469341830178956,-0.4353435613458019,1.2509689985912136,85,7
QQQ,1d,3,0.5,0.5,12/26,0.5678302451413776,0.05563448939225224,-0.5331975584424165,0.7166002449497284,68,2
QQQ,1d,3,0.5,0.75,9/21,0.8082472293197465,0.06834373599716903,-0.5209386873006292,0.9343738689859089,85,7
QQQ,1d,3,0.5,0.75,12/26,0.7181546179723564,0.03533732883561336,-0.6302091755699759,0.41422816852046274,68,2
QQQ,1d,3,0.5,1.0,9/21,0.9498962034185149,0.05178613611029648,-0.5980563375890109,0.6551575952540198,85,7
QQQ,1d,3,0.5,1.0,12/26,0.8452113333925677,0.014934513260127735,-0.7012604981629885,0.1594511954175526,68,2
QQQ,1d,3,0.75,0.5,9/21,0.6532072727426392,0.06381144365791624,-0.5009516083716511,0.8540163050348413,95,2
QQQ,1d,3,0.75,0.5,12/26,0.5584490720893452,0.04637724185651071,-0.49096163466667075,0.5721436052188422,68,2
