ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
SLV,1d,3,0.0,0.5,9/21,0.5524483169507552,-0.08244158427546977,-0.8144415024521049,-0.5762803322966108,95,19
SLV,1d,3,0.0,0.5,12/26,0.540782428829045,-0.062052865713661975,-0.7751102475085967,-0.4723625351404964,87,7
SLV,1d,3,0.0,0.75,9/21,0.7716120545429646,-0.09894942620036173,-0.887128222534274,-0.6464999255111643,95,19
SLV,1d,3,0.0,0.75,12/26,0.747314741235371,-0.07645193019520147,-0.8595468239919736,-0.5478522467945007,87,7
SLV,1d,3,0.0,1.0,9/21,0.9431147989078476,-0.11799153927795536,-0.9305691796382737,-0.7143663291121176,95,19
SLV,1d,3,0.0,1.0,12/26,0.909602404287722,-0.09360808956529987,-0.9113524732565027,-0.625020856971018,87,7
SLV,1d,3,0.25,0.5,9/21,0.5869967781484204,-0.09403446033764329,-0.8365556283508775,-0.6267775620177141,109,12
SLV,1d,3,0.25,0.5,12/26,0.5383862240914268,-0.0733502491786171,-0.8049014953126321,-0.5324666781478835,89,3
SLV,1d,3,0.25,0.75,9/21,0.8227891050409136,-0.11243566698978491,-0.9028993689653949,-0.6958931535027095,109,12
SLV,1d,3,0.25,0.75,12/26,0.749665365404015,-0.08983583628017877,-0.8814043026866731,-0.6091515132009986,89,3
SLV,1d,3,0.25,1.0,9/21,1.0072208374432716,-0.13328587942413062,-0.9416911818663236,-0.7601214895361235,109,12
SLV,1d,3,0.25,1.0,12/26,0.915233371289782,-0.10912832845888476,-0.9272432127600742,-0.6843925667756767,89,3
SLV,1d,3,0.5,0.5,9/21,0.6333921483853271,-0.05447873009061954,-0.761384899295704,-0.42826373320799405,115,9
SLV,1d,3,0.5,0.5,12/26,0.545229357383332,-0.09738668082082513,-0.8499134925768126,-0.6403332588674192,97,0
SLV,1d,3,0.5,0.75,9/21,0.869533351378529,-0.06730265896426368,-0.8488672981291283,-0.5011065882468493,115,9
SLV,1d,3,0.5,0.75,12/26,0.7700689663929393,-0.11736546060109243,-0.9127138261545457,-0.7123363685291408,97,0
