ticker,timeframe,n_mu,x,bear_alloc_1d,ema_pair,sharpe,cagr,max_drawdown,total_return,num_trades,n_skipped
SLV,1d,1,0.0,0.0,9/21,-0.09689477613162348,-0.038425545792763804,-0.499793822262091,-0.32365729322891523,108,9
SLV,1d,1,0.0,0.0,12/26,-0.21755928906569813,-0.06112964907152307,-0.5401177455088559,-0.46715636314213205,92,4
SLV,1d,1,0.0,0.0,20/50,0.006622229543942321,-0.018276655296643574,-0.4696282032672411,-0.1681402150554242,60,4
SLV,1d,1,0.0,0.5,9/21,0.623349349282044,-0.049490703641730915,-0.7571898891316418,-0.3974389410377308,109,9
SLV,1d,1,0.0,0.5,12/26,0.5444219812442499,-0.08483480229625684,-0.8283679456697153,-0.5871817759817132,93,4
SLV,1d,1,0.0,0.5,20/50,0.47258284529942257,-0.018025915997125996,-0.6706873273411073,-0.16601736671186473,60,4
SLV,1d,1,0.0,0.75,9/21,0.8512830585231238,-0.06122588705338283,-0.8388740992926272,-0.467701214752833,109,9
SLV,1d,1,0.0,0.75,12/26,0.7615383475094645,-0.10271792142412917,-0.8975131612556216,-0.6609811196507532,93,4
SLV,1d,1,0.0,0.75,20/50,0.636928318971752,-0.02409497203405786,-0.7573831474601427,-0.2160547682170909,60,4
SLV,1d,1,0.0,1.0,9/21,1.0311325457318636,-0.07571820562060094,-0.8932230076311028,-0.5442544128759841,109,9
SLV,1d,1,0.0,1.0,12/26,0.931392338347323,-0.12319708324495526,-0.9381624856899028,-0.7307518328040266,93,4
SLV,1d,1,0.0,1.0,20/50,0.7671700904993266,-0.03297198379373578,-0.82698050394551,-0.28438493993970904,60,4
SLV,1d,1,0.25,0.0,9/21,-0.15021925271475398,-0.04882600586796648,-0.5441459417397676,-0.39322032090187586,118,4
SLV,1d,1,0.25,0.0,12/26,-0.2669026676574904,-0.07017500328738369,-0.5378350002478833,-0.5162297777960441,94,2
SLV,1d,1,0.25,0.0,20/50,0.023743850327834604,-0.01473442032464456,-0.47231752796767235,-0.13769477042271372,62,3
SLV,1d,1,0.25,0.5,9/21,0.6396778386710489,-0.0654262273775924,-0.7835365476165699,-0.4909986265254289,119,4
SLV,1d,1,0.25,0.5,12/26,0.5393899952481119,-0.09775407013498483,-0.8505220622473433,-0.6417916329338815,95,2
SLV,1d,1,0.25,0.5,20/50,0.4878782801137723,-0.012426985923662315,-0.6656211987018776,-0.11732689312699263,62,3
SLV,1d,1,0.25,0.75,9/21,0.8805798857682582,-0.07987813982785774,-0.8654855193710287,-0.5643167719887295,119,4
SLV,1d,1,0.25,0.75,12/26,0.7616726575921245,-0.11734418684262704,-0.912692827415717,-0.712267164287488,95,2
