metric,ticker,best_n_mu,best_x_zero,value
in_sample_sharpe,AAPL,1,1.0,0.7560508465511547
in_sample_sharpe,BTC-USD,2,0.85,0.9106345153936916
in_sample_sharpe,ETH-USD,2,0.1,0.9219839210570678
in_sample_sharpe,GLD,1,0.7,0.6413959094861278
in_sample_sharpe,GOOGL,2,0.85,0.6570708592518472
in_sample_sharpe,IWM,1,1.0,0.5949099254136208
in_sample_sharpe,QQQ,1,0.55,0.67693983638571
in_sample_sharpe,SLV,14,0.85,0.5387036833482972
in_sample_sharpe,SPY,2,0.85,0.6730314955421338
mc_sharpe_mean,AAPL,1,1.0,0.8409578005104836
mc_sharpe_mean,BTC-USD,1,1.0,0.8937821266671875
mc_sharpe_mean,ETH-USD,2,0.1,0.8614860183764046
mc_sharpe_mean,GLD,1,1.0,0.6272637433168003
mc_sharpe_mean,GOOGL,1,1.0,0.7002842296006254
mc_sharpe_mean,IWM,1,1.0,0.610163163805045
mc_sharpe_mean,QQQ,1,1.0,0.7098731461975143
mc_sharpe_mean,SLV,1,1.0,0.5605440796346296
mc_sharpe_mean,SPY,1,1.0,0.6595934032678263
wf_mean_sharpe,AAPL,19,0.85,0.8927607305923957
wf_mean_sharpe,BTC-USD,3,0.85,0.7384316412491266
wf_mean_sharpe,ETH-USD,3,0.55,0.8644005962122161
wf_mean_sharpe,GLD,5,0.1,1.036468035692427
wf_mean_sharpe,GOOGL,14,0.55,0.5669826473998383
wf_mean_sharpe,IWM,19,0.7,1.0317391658991721
wf_mean_sharpe,QQQ,5,0.55,0.8004615678448763
wf_mean_sharpe,SLV,7,0.55,1.0465026728380231
wf_mean_sharpe,SPY,14,0.85,0.8519186498241434
wf_pos_sharpe_frac,AAPL,1,0.1,0.4754285714285714
wf_pos_sharpe_frac,BTC-USD,1,0.85,0.4741666666666666
wf_pos_sharpe_frac,ETH-USD,3,0.55,0.4833333333333333
wf_pos_sharpe_frac,GLD,1,1.0,0.5942857142857143
wf_pos_sharpe_frac,GOOGL,1,0.85,0.5302857142857142
wf_pos_sharpe_frac,IWM,19,0.85,0.64
wf_pos_sharpe_frac,QQQ,1,0.85,0.4685714285714285
wf_pos_sharpe_frac,SLV,1,1.0,0.632
wf_pos_sharpe_frac,SPY,14,0.85,0.5188571428571429
mc_robust_sharpe,AAPL,1,1.0,11.601216442058185
mc_robust_sharpe,BTC-USD,1,0.0,5.653282249710092
mc_robust_sharpe,ETH-USD,14,0.85,4.567377690825576
mc_robust_sharpe,GLD,1,0.7,13.5288212987154
mc_robust_sharpe,GOOGL,1,1.0,11.910894005751372
mc_robust_sharpe,IWM,2,0.25,10.82218249354472
mc_robust_sharpe,QQQ,1,0.0,12.351081821751144
mc_robust_sharpe,SLV,1,1.0,12.442491110127174
mc_robust_sharpe,SPY,1,1.0,11.689698346851035
in_sample_return,AAPL,1,1.0,2.474411309647702
in_sample_return,BTC-USD,14,0.25,85.57966424567564
in_sample_return,ETH-USD,2,0.1,137.35189534517932
in_sample_return,GLD,14,0.0,0.9601322219274183
in_sample_return,GOOGL,14,0.0,1.7330842059552378
in_sample_return,IWM,1,1.0,0.3601350959480204
in_sample_return,QQQ,5,0.55,0.8867575870150549
in_sample_return,SLV,19,0.25,0.24276819223536797
in_sample_return,SPY,3,0.7,1.137611958263417
wf_worst_return,AAPL,14,0.1,-0.04437968745505186
wf_worst_return,BTC-USD,19,0.0,-0.06342617517963772
wf_worst_return,ETH-USD,19,0.0,-0.06845668527457051
wf_worst_return,GLD,10,0.1,-0.030482352956422702
wf_worst_return,GOOGL,19,0.0,-0.045577064881325846
wf_worst_return,IWM,19,0.55,-0.020567555742468317
wf_worst_return,QQQ,19,0.55,-0.00224717193889992
wf_worst_return,SLV,7,0.0,-0.034004077433249014
wf_worst_return,SPY,19,0.55,-0.007805645576144008
